start_time,longShortRatio,time,c,h,l,o,t,longAccount,shortAccount,buy,sell
1704067200000,1.29,1704067200,0.036737,0.037552,0.036737,0.037499,1704067200,60.11,39.89,4686.412,3771.501
1704070800000,1.22,1704070800,0.035642,0.036737,0.035642,0.036737,1704070800,59.61,40.39,4783.838,4259.573
1704074400000,0.85,1704074400,0.034971,0.035642,0.034793,0.035642,1704074400,59.37,40.63,2141.259,2511.808
1704078000000,0.75,1704078000,0.033575,0.035091,0.03354,0.034971,1704078000,59.44,40.56,3501.132,4618.859
1704081600000,1.14,1704081600,0.032568,0.033575,0.032567,0.033575,1704081600,59.76,40.24,3155.432,3200.993
1704085200000,0.68,1704085200,0.031234,0.032597,0.031142,0.032568,1704085200,60.08,39.92,1696.938,2442.619
1704088800000,1.42,1704088800,0.029379,0.031235,0.029379,0.031234,1704088800,60.1,39.9,2299.336,1633.683
1704092400000,1.05,1704092400,0.027213,0.029379,0.027213,0.029379,1704092400,60.37,39.63,2086.176,2368.874
1704096000000,0.91,1704096000,0.028246,0.028246,0.027213,0.027213,1704096000,60.16,39.84,1791.092,1882.654
1704099600000,1.03,1704099600,0.030443,0.030443,0.028246,0.028246,1704099600,59.62,40.38,2833.184,2946.696
1704103200000,1.02,1704103200,0.032309,0.032309,0.030443,0.030443,1704103200,58.63,41.37,2905.867,2900.871
1704106800000,0.82,1704106800,0.033969,0.033969,0.032309,0.032309,1704106800,57.73,42.27,2717.682,3247.356
1704110400000,1.15,1704110400,0.03576,0.03576,0.033959,0.033969,1704110400,56.55,43.45,3286.281,3094.207
1704114000000,1.18,1704114000,0.036268,0.036454,0.03576,0.03576,1704114000,56.3,43.7,1772.165,1497.585
1704117600000,0.81,1704117600,0.035226,0.036268,0.035226,0.036268,1704117600,56.23,43.77,2391.936,2942.023
1704121200000,1.27,1704121200,0.033656,0.035226,0.033656,0.035226,1704121200,55.97,44.03,4388.174,3789.113
1704124800000,0.94,1704124800,0.032462,0.033776,0.032462,0.033656,1704124800,56.16,43.84,3469.787,3656.171
1704128400000,0.94,1704128400,0.030866,0.032462,0.030866,0.032462,1704128400,56.06,43.94,1670.386,1740.633
1704132000000,1.22,1704132000,0.031883,0.031914,0.030747,0.030866,1704132000,55.62,44.38,10240.301,8655.225
1704135600000,1.22,1704135600,0.03218,0.032281,0.031882,0.031883,1704135600,55.52,44.48,9415.678,7621.605
1704139200000,1.26,1704139200,0.041163,0.041163,0.03218,0.03218,1704139200,55.19,44.81,13207.671,10440.526
1704142800000,0.8,1704142800,0.051017,0.051017,0.041163,0.041163,1704142800,53.21,46.79,4713.037,5823.907
1704146400000,0.9,1704146400,0.058779,0.058779,0.051017,0.051017,1704146400,52.33,47.67,3314.391,3318.516
1704150000000,1.35,1704150000,0.065743,0.065743,0.058779,0.058779,1704150000,51.85,48.15,14789.843,10799.584
1704153600000,1.18,1704153600,0.077835,0.077835,0.065743,0.065743,1704153600,51.99,48.01,32022.042,27348.96
1704157200000,0.89,1704157200,0.090053,0.090053,0.077835,0.077835,1704157200,51.97,48.03,16237.08,17504.896
1704160800000,1.15,1704160800,0.087263,0.091374,0.087263,0.090053,1704160800,50.96,49.04,9533.905,9024.093
1704164400000,0.96,1704164400,0.073419,0.087263,0.073419,0.087263,1704164400,50.65,49.35,8677.513,10200.852
1704168000000,0.89,1704168000,0.058725,0.073419,0.058725,0.073419,1704168000,49.73,50.27,5063.767,6262.827
1704171600000,1.05,1704171600,0.048714,0.058725,0.048714,0.058725,1704171600,48.14,51.86,3793.405,4138.166
1704175200000,0.88,1704175200,0.040209,0.048714,0.040209,0.048714,1704175200,47.77,52.23,2587.299,3124.831
1704178800000,1.14,1704178800,0.035179,0.040209,0.035179,0.040209,1704178800,47.65,52.35,11037.717,10609.827
1704182400000,1.13,1704182400,0.034302,0.035179,0.033589,0.035179,1704182400,48.25,51.75,14021.427,13077.421
1704186000000,1.05,1704186000,0.03733,0.03733,0.034302,0.034302,1704186000,48.7,51.3,7137.204,7080.167
1704189600000,0.8,1704189600,0.048489,0.048489,0.035505,0.03733,1704189600,48.99,51.01,6111.266,7709.656
1704193200000,0.89,1704193200,0.059678,0.059678,0.048489,0.048489,1704193200,48.2,51.8,8695.374,9294.581
1704196800000,1.03,1704196800,0.065766,0.065766,0.059678,0.059678,1704196800,48.15,51.85,7592.758,7935.516
1704200400000,1.0,1704200400,0.067907,0.067958,0.065766,0.065766,1704200400,47.97,52.03,7510.783,7479.999
1704204000000,0.87,1704204000,0.06103,0.067907,0.06103,0.067907,1704204000,47.96,52.04,16659.632,19177.72
1704207600000,0.95,1704207600,0.053942,0.06103,0.053942,0.06103,1704207600,47.26,52.74,15877.88,16711.608
1704211200000,1.07,1704211200,0.049513,0.053942,0.049513,0.053942,1704211200,47.85,52.15,10396.844,10286.647
1704214800000,0.88,1704214800,0.0402,0.049513,0.0402,0.049513,1704214800,48.43,51.57,5811.239,6515.102
1704218400000,1.14,1704218400,0.031987,0.0402,0.031987,0.0402,1704218400,48.69,51.31,5894.458,4986.839
