start_time,datetime,flow_mean,flow_total,transactions_count_flow,inflow_mean,inflow_mean_ma7,inflow_top10,inflow_total,netflow_total,outflow_mean,outflow_mean_ma7,outflow_top10,outflow_total,reserve,reserve_usd,transactions_count_inflow,transactions_count_outflow,is_shutdown,exchange_supply_ratio,exchange_whale_ratio,funding_rates,long_liquidations,long_liquidations_usd,short_liquidations,short_liquidations_usd,open_interest,close,high,low,open,volume,taker_buy_ratio,taker_buy_sell_ratio,taker_buy_volume,taker_sell_ratio,taker_sell_volume
1704067200000,2024-01-01 00:00:00,4.58308532,183.32341286,40,0.04021038,2.06439333,6.15483109,12.18374536,-292.48179534,7.61663852,8.32518946,278.63814299,304.6655407,581824.98056189,24730912078.866127,303,40,0,0.02970593,0.50516741,0.03726388,0.461,19507.00627,10.01967321,427431.4129,4009686914.522899,42475.23,42554.57,42261.02,42283.58,1271.68108,0.55469273,1.24564042,198088357.69765,0.44530727,159025313.14621
1704070800000,2024-01-01 01:00:00,2.93029864,231.49359274,79,0.44472819,2.1193977,246.26179123,257.94235084,88.73785766000003,2.14182903,8.32733036,159.42451417,169.20449318,581913.71841955,24817999246.13187,580,79,0,0.02971035,0.95471639,0.03599147,0.455,19361.18115,19.19137298,820793.89171,4024601075.0061,42613.56,42775.0,42431.65,42475.23,1196.37856,0.52899933,1.12313925,204128245.39118,0.47100067,181747940.20698
1704074400000,2024-01-01 02:00:00,0.41595498,12.89460427,31,0.0853629,0.14561915,19.12243688,25.43814561,-112.11859291000002,4.43731415,8.37557346,127.71423459,137.55673852,581801.59982664,24765739893.05064,298,31,0,0.02970456,0.75172291,0.0350863,2.232,94774.03311,1.512,64681.52556,4015563542.5399,42581.1,42638.41,42500.0,42613.57,685.2198,0.45871364,0.84745096,90630571.6646,0.54128636,106944915.75819
1704078000000,2024-01-01 03:00:00,1.16847372,29.21184306,25,2.68952638,0.51027581,547.5321729,554.04243374,390.08877746,6.55814625,8.32329842,154.0179197,163.95365628,582191.6886041,24681148214.21112,206,25,0,0.02972442,0.98824953,0.03443085,9.78472877,412936.02505,0.071,3003.28356,3988890775.5869,42330.49,42586.64,42230.08,42581.09,794.80391,0.43008989,0.75466267,147568695.6053,0.56991011,195542593.4903
1704081600000,2024-01-01 04:00:00,1.25998782,65.51936688,52,0.72469126,0.59305284,191.99301567,205.0876265,-104.73233647,5.95807621,8.10008607,285.81529093,309.81996297,582086.95626763,24655292520.5956,283,52,0,0.029719,0.93615114,0.0329559,6.43260874,271075.47366,1.382,58709.82158,4004539289.6162,42399.99,42399.99,42209.46,42330.5,715.4176,0.4991332,0.9965388,132086407.2938,0.5008668,132545172.6406
1704085200000,2024-01-01 05:00:00,1.77030241,44.25756013,25,0.12935014,0.59691692,13.56478222,15.65136685,-273.68396192,11.57341315,8.89456938,270.04935593,289.33532877,581813.27230571,24616506304.506733,121,25,0,0.02970498,0.86668355,0.0319997,1.05823779,44574.36604,0.792,33660.12114,3989518700.4907,42234.01,42406.0,42180.77,42399.98,736.53152,0.41127713,0.69859207,71147174.0287,0.58872287,101843660.4488
1704088800000,2024-01-01 06:00:00,3.47917134,160.04188176,46,0.84200679,0.70798229,217.17918783,225.65781969,-155.4072425,8.28402309,6.6527772,357.93175305,381.06506219,581657.86506321,24665321454.38324,268,46,0,0.02969698,0.96242704,0.03042437,0.379,16008.64922,0.095,4046.62716,4001274893.8958,42396.69,42424.82,42208.68,42234.01,601.3725,0.6015309,1.50960487,97070936.37616,0.3984691,64302214.5334
1704092400000,2024-01-01 07:00:00,1.77436048,60.32825642,34,0.32063642,0.74804315,103.69923519,114.1465663,-252.32736026,10.7786449,7.1044924,355.36782835,366.47392656,581405.53770295,24691973966.45243,356,34,0,0.02968403,0.90847442,0.02831692,0.407,17217.17922,2.524,107684.30272,4014387686.7592,42492.46,42500.0,42396.68,42396.69,653.67718,0.46752845,0.8780346,88345604.2115,0.53247155,100617452.1183
1704096000000,2024-01-01 08:00:00,1.36602427,57.37301951,42,0.97741639,0.82414147,456.55874884,476.97919897,172.99732268000002,7.23766372,7.83246878,287.66200587,303.98187629,581578.53502563,24744018750.95694,488,42,0,0.0296928,0.95718797,0.02771425,0.0,0.0,0.85570276,36565.24411,4026660954.435101,42549.99,42556.5,42452.58,42492.46,427.19365,0.49153843,0.96671696,75953461.86969,0.50846157,78568458.7341
1704099600000,2024-01-01 09:00:00,0.96952054,31.02465722,32,0.06015231,0.82053996,15.81210122,27.97082315,-3.195361309999999,0.97394326,7.33770151,24.12599426,31.16618446,581575.33966432,24822223807.69856,465,32,0,0.0296926,0.56530697,0.02935218,0.016,681.0059,2.259,96776.38142,4045874564.6016006,42649.69,42699.32,42537.18,42550.0,879.62491,0.49210864,0.968925,119426241.75402,0.50789136,123256435.7394
1704103200000,2024-01-01 10:00:00,2.23141276,91.48792326,41,0.28094884,0.47645745,125.60097803,137.94588116,-85.836386,5.45810408,7.18055263,206.78772824,223.78226716,581489.50327832,24824894451.92018,491,41,0,0.02968817,0.91050908,0.03143683,0.008,341.81984,31.27467468,1345834.4711,4081454957.0896006,42691.1,42749.36,42628.0,42649.69,856.81851,0.50150186,1.00602555,123277213.6745,0.49849814,122538849.1779
