start_time,longShortRatio,time
1704067200000,1.29,1704067200
1704070800000,1.22,1704070800
1704074400000,0.85,1704074400
1704078000000,0.75,1704078000
1704081600000,1.14,1704081600
1704085200000,0.68,1704085200
1704088800000,1.42,1704088800
1704092400000,1.05,1704092400
1704096000000,0.91,1704096000
1704099600000,1.03,1704099600
1704103200000,1.02,1704103200
1704106800000,0.82,1704106800
1704110400000,1.15,1704110400
1704114000000,1.18,1704114000
1704117600000,0.81,1704117600
1704121200000,1.27,1704121200
1704124800000,0.94,1704124800
1704128400000,0.94,1704128400
1704132000000,1.22,1704132000
1704135600000,1.22,1704135600
1704139200000,1.26,1704139200
1704142800000,0.8,1704142800
1704146400000,0.9,1704146400
1704150000000,1.35,1704150000
1704153600000,1.18,1704153600
1704157200000,0.89,1704157200
1704160800000,1.15,1704160800
1704164400000,0.96,1704164400
1704168000000,0.89,1704168000
1704171600000,1.05,1704171600
1704175200000,0.88,1704175200
1704178800000,1.14,1704178800
1704182400000,1.13,1704182400
1704186000000,1.05,1704186000
1704189600000,0.8,1704189600
1704193200000,0.89,1704193200
1704196800000,1.03,1704196800
1704200400000,1.0,1704200400
1704204000000,0.87,1704204000
1704207600000,0.95,1704207600
1704211200000,1.07,1704211200
1704214800000,0.88,1704214800
1704218400000,1.14,1704218400
1704222000000,0.9,1704222000
1704225600000,0.95,1704225600
1704229200000,1.06,1704229200
1704232800000,0.87,1704232800
1704236400000,0.94,1704236400
1704240000000,1.05,1704240000
1704243600000,1.46,1704243600
1704247200000,0.97,1704247200
1704250800000,0.94,1704250800
1704254400000,0.8,1704254400
1704258000000,0.92,1704258000
1704261600000,1.37,1704261600
1704265200000,0.75,1704265200
1704268800000,1.17,1704268800
1704272400000,1.24,1704272400
1704276000000,0.78,1704276000
1704279600000,0.75,1704279600
1704283200000,0.95,1704283200
1704286800000,0.9,1704286800
1704290400000,1.0,1704290400
1704294000000,1.18,1704294000
1704297600000,0.99,1704297600
1704301200000,0.95,1704301200
1704304800000,0.78,1704304800
1704308400000,1.12,1704308400
1704312000000,1.08,1704312000
1704315600000,1.08,1704315600
1704319200000,0.9,1704319200
1704322800000,1.1,1704322800
1704326400000,0.97,1704326400
1704330000000,0.94,1704330000
1704333600000,1.34,1704333600
1704337200000,0.89,1704337200
1704340800000,0.9,1704340800
1704344400000,1.08,1704344400
1704348000000,0.81,1704348000
1704351600000,0.77,1704351600
1704355200000,1.16,1704355200
1704358800000,1.11,1704358800
1704362400000,0.96,1704362400
1704366000000,1.09,1704366000
1704369600000,1.15,1704369600
1704373200000,1.05,1704373200
1704376800000,1.08,1704376800
1704380400000,1.14,1704380400
1704384000000,0.86,1704384000
1704387600000,1.03,1704387600
1704391200000,1.09,1704391200
1704394800000,1.01,1704394800
1704398400000,1.18,1704398400
1704402000000,1.04,1704402000
1704405600000,0.95,1704405600
1704409200000,0.85,1704409200
1704412800000,1.03,1704412800
1704416400000,0.86,1704416400
1704420000000,1.1,1704420000
1704423600000,0.99,1704423600
1704427200000,1.0,1704427200
1704430800000,1.0,1704430800
1704434400000,1.25,1704434400
1704438000000,0.94,1704438000
1704441600000,1.03,1704441600
1704445200000,1.08,1704445200
1704448800000,0.74,1704448800
1704452400000,1.03,1704452400
1704456000000,1.14,1704456000
1704459600000,1.03,1704459600
1704463200000,0.87,1704463200
1704466800000,0.98,1704466800
1704470400000,0.94,1704470400
1704474000000,1.11,1704474000
1704477600000,1.0,1704477600
1704481200000,1.11,1704481200
1704484800000,1.18,1704484800
1704488400000,0.95,1704488400
1704492000000,1.01,1704492000
1704495600000,1.01,1704495600
1704499200000,0.93,1704499200
1704502800000,0.88,1704502800
1704506400000,0.79,1704506400
1704510000000,1.17,1704510000
1704513600000,0.85,1704513600
1704517200000,0.93,1704517200
1704520800000,0.89,1704520800
1704524400000,1.31,1704524400
1704528000000,1.12,1704528000
1704531600000,0.94,1704531600
1704535200000,1.2,1704535200
1704538800000,0.76,1704538800
1704542400000,0.83,1704542400
1704546000000,1.23,1704546000
1704549600000,1.11,1704549600
1704553200000,1.02,1704553200
1704556800000,1.03,1704556800
1704560400000,1.18,1704560400
1704564000000,1.04,1704564000
1704567600000,0.79,1704567600
1704571200000,0.76,1704571200
1704574800000,1.23,1704574800
1704578400000,1.06,1704578400
1704582000000,1.16,1704582000
1704585600000,1.23,1704585600
1704589200000,0.75,1704589200
1704592800000,0.85,1704592800
1704596400000,1.18,1704596400
1704600000000,1.07,1704600000
1704603600000,0.78,1704603600
1704607200000,1.26,1704607200
1704610800000,1.22,1704610800
1704614400000,0.89,1704614400
1704618000000,0.85,1704618000
1704621600000,1.07,1704621600
1704625200000,1.14,1704625200
1704628800000,0.99,1704628800
1704632400000,1.19,1704632400
1704636000000,1.05,1704636000
1704639600000,0.73,1704639600
1704643200000,0.91,1704643200
1704646800000,1.06,1704646800
1704650400000,0.92,1704650400
1704654000000,1.55,1704654000
1704657600000,0.68,1704657600
1704661200000,0.9,1704661200
1704664800000,0.83,1704664800
1704668400000,0.99,1704668400
1704672000000,0.88,1704672000
1704675600000,1.11,1704675600
1704679200000,0.75,1704679200
1704682800000,1.24,1704682800
1704686400000,1.06,1704686400
1704690000000,1.11,1704690000
1704693600000,1.12,1704693600
1704697200000,1.15,1704697200
1704700800000,0.89,1704700800
1704704400000,0.74,1704704400
1704708000000,1.35,1704708000
1704711600000,1.2,1704711600
1704715200000,1.04,1704715200
1704718800000,0.78,1704718800
1704722400000,0.9,1704722400
1704726000000,1.1,1704726000
1704729600000,0.91,1704729600
1704733200000,1.25,1704733200
1704736800000,1.17,1704736800
1704740400000,1.03,1704740400
1704744000000,0.98,1704744000
1704747600000,1.03,1704747600
1704751200000,0.88,1704751200
1704754800000,1.05,1704754800
1704758400000,0.92,1704758400
1704762000000,1.0,1704762000
1704765600000,0.98,1704765600
1704769200000,0.98,1704769200
1704772800000,0.85,1704772800
1704776400000,0.88,1704776400
1704780000000,1.2,1704780000
1704783600000,1.2,1704783600
1704787200000,0.74,1704787200
1704790800000,0.92,1704790800
1704794400000,1.03,1704794400
1704798000000,1.25,1704798000
1704801600000,0.95,1704801600
1704805200000,1.15,1704805200
1704808800000,0.89,1704808800
1704812400000,1.02,1704812400
1704816000000,1.04,1704816000
1704819600000,0.85,1704819600
1704823200000,0.91,1704823200
1704826800000,1.06,1704826800
1704830400000,0.94,1704830400
1704834000000,0.98,1704834000
1704837600000,1.15,1704837600
1704841200000,1.0,1704841200
1704844800000,0.98,1704844800
1704848400000,1.08,1704848400
1704852000000,1.02,1704852000
1704855600000,0.97,1704855600
1704859200000,0.79,1704859200
1704862800000,1.02,1704862800
1704866400000,0.99,1704866400
1704870000000,0.8,1704870000
1704873600000,0.72,1704873600
1704877200000,1.09,1704877200
1704880800000,0.94,1704880800
1704884400000,0.83,1704884400
1704888000000,0.83,1704888000
1704891600000,1.11,1704891600
1704895200000,0.94,1704895200
1704898800000,1.13,1704898800
1704902400000,0.95,1704902400
1704906000000,1.11,1704906000
1704909600000,0.99,1704909600
1704913200000,0.92,1704913200
1704916800000,0.94,1704916800
1704920400000,0.98,1704920400
1704924000000,1.1,1704924000
1704927600000,0.96,1704927600
1704931200000,0.95,1704931200
1704934800000,0.87,1704934800
1704938400000,0.86,1704938400
1704942000000,0.75,1704942000
1704945600000,0.82,1704945600
1704949200000,0.7,1704949200
1704952800000,0.87,1704952800
1704956400000,1.23,1704956400
1704960000000,1.3,1704960000
1704963600000,0.84,1704963600
1704967200000,1.24,1704967200
1704970800000,1.05,1704970800
1704974400000,1.09,1704974400
1704978000000,0.88,1704978000
1704981600000,1.09,1704981600
1704985200000,0.88,1704985200
1704988800000,1.0,1704988800
1704992400000,1.01,1704992400
1704996000000,0.99,1704996000
1704999600000,0.93,1704999600
1705003200000,0.88,1705003200
1705006800000,1.05,1705006800
1705010400000,1.15,1705010400
1705014000000,0.96,1705014000
1705017600000,0.92,1705017600
1705021200000,0.84,1705021200
1705024800000,0.95,1705024800
1705028400000,0.91,1705028400
1705032000000,0.86,1705032000
1705035600000,1.25,1705035600
1705039200000,0.88,1705039200
1705042800000,0.79,1705042800
1705046400000,0.9,1705046400
1705050000000,0.99,1705050000
1705053600000,1.1,1705053600
1705057200000,0.93,1705057200
1705060800000,0.93,1705060800
1705064400000,0.95,1705064400
1705068000000,0.97,1705068000
1705071600000,0.87,1705071600
1705075200000,0.86,1705075200
1705078800000,1.13,1705078800
1705082400000,0.94,1705082400
1705086000000,1.01,1705086000
1705089600000,1.01,1705089600
1705093200000,0.79,1705093200
1705096800000,0.82,1705096800
1705100400000,1.07,1705100400
1705104000000,1.04,1705104000
1705107600000,0.99,1705107600
1705111200000,0.96,1705111200
1705114800000,1.05,1705114800
1705118400000,1.19,1705118400
1705122000000,1.28,1705122000
1705125600000,0.86,1705125600
1705129200000,0.92,1705129200
1705132800000,0.99,1705132800
1705136400000,0.72,1705136400
1705140000000,0.87,1705140000
1705143600000,0.85,1705143600
1705147200000,1.06,1705147200
1705150800000,1.01,1705150800
1705154400000,1.17,1705154400
1705158000000,1.03,1705158000
1705161600000,0.74,1705161600
1705165200000,1.05,1705165200
1705168800000,0.9,1705168800
1705172400000,1.04,1705172400
1705176000000,1.06,1705176000
1705179600000,0.99,1705179600
1705183200000,1.03,1705183200
1705186800000,0.83,1705186800
1705190400000,0.72,1705190400
1705194000000,1.1,1705194000
1705197600000,0.99,1705197600
1705201200000,0.93,1705201200
1705204800000,0.78,1705204800
1705208400000,1.4,1705208400
1705212000000,1.28,1705212000
1705215600000,0.93,1705215600
1705219200000,0.81,1705219200
1705222800000,1.08,1705222800
1705226400000,0.84,1705226400
1705230000000,0.95,1705230000
1705233600000,0.74,1705233600
1705237200000,1.45,1705237200
1705240800000,1.0,1705240800
1705244400000,1.03,1705244400
1705248000000,0.89,1705248000
1705251600000,0.91,1705251600
1705255200000,0.89,1705255200
1705258800000,0.84,1705258800
1705262400000,0.82,1705262400
1705266000000,0.96,1705266000
1705269600000,0.98,1705269600
1705273200000,0.84,1705273200
1705276800000,1.11,1705276800
1705280400000,1.01,1705280400
1705284000000,1.13,1705284000
1705287600000,1.38,1705287600
1705291200000,0.82,1705291200
1705294800000,1.28,1705294800
1705298400000,0.8,1705298400
1705302000000,0.9,1705302000
1705305600000,0.99,1705305600
1705309200000,0.96,1705309200
1705312800000,0.72,1705312800
1705316400000,1.25,1705316400
1705320000000,0.99,1705320000
1705323600000,1.15,1705323600
1705327200000,0.82,1705327200
1705330800000,1.09,1705330800
1705334400000,1.24,1705334400
1705338000000,1.08,1705338000
1705341600000,1.16,1705341600
1705345200000,0.96,1705345200
1705348800000,0.98,1705348800
1705352400000,0.89,1705352400
1705356000000,1.01,1705356000
1705359600000,1.05,1705359600
1705363200000,1.18,1705363200
1705366800000,1.18,1705366800
1705370400000,1.2,1705370400
1705374000000,1.21,1705374000
1705377600000,0.79,1705377600
1705381200000,0.86,1705381200
1705384800000,0.94,1705384800
1705388400000,0.89,1705388400
1705392000000,1.15,1705392000
1705395600000,0.9,1705395600
1705399200000,0.84,1705399200
1705402800000,0.93,1705402800
1705406400000,1.21,1705406400
1705410000000,0.74,1705410000
1705413600000,0.99,1705413600
1705417200000,1.13,1705417200
1705420800000,0.95,1705420800
1705424400000,0.8,1705424400
1705428000000,0.85,1705428000
1705431600000,1.07,1705431600
1705435200000,0.99,1705435200
1705438800000,1.14,1705438800
1705442400000,0.78,1705442400
1705446000000,0.9,1705446000
1705449600000,1.06,1705449600
1705453200000,0.85,1705453200
1705456800000,0.86,1705456800
1705460400000,0.78,1705460400
1705464000000,0.98,1705464000
1705467600000,0.95,1705467600
1705471200000,0.99,1705471200
1705474800000,0.81,1705474800
1705478400000,1.26,1705478400
1705482000000,1.08,1705482000
1705485600000,1.25,1705485600
1705489200000,0.88,1705489200
1705492800000,0.96,1705492800
1705496400000,0.92,1705496400
1705500000000,0.97,1705500000
1705503600000,0.94,1705503600
1705507200000,0.99,1705507200
1705510800000,1.05,1705510800
1705514400000,1.11,1705514400
1705518000000,1.11,1705518000
1705521600000,0.94,1705521600
1705525200000,1.15,1705525200
1705528800000,0.97,1705528800
1705532400000,1.05,1705532400
1705536000000,0.88,1705536000
1705539600000,0.9,1705539600
1705543200000,1.04,1705543200
1705546800000,0.78,1705546800
1705550400000,1.31,1705550400
1705554000000,1.03,1705554000
1705557600000,1.01,1705557600
1705561200000,0.99,1705561200
1705564800000,0.73,1705564800
1705568400000,1.11,1705568400
1705572000000,0.82,1705572000
1705575600000,1.09,1705575600
1705579200000,0.96,1705579200
1705582800000,1.15,1705582800
1705586400000,1.11,1705586400
1705590000000,0.83,1705590000
1705593600000,0.77,1705593600
1705597200000,0.88,1705597200
1705600800000,0.95,1705600800
1705604400000,0.77,1705604400
1705608000000,0.99,1705608000
1705611600000,1.2,1705611600
1705615200000,1.05,1705615200
1705618800000,0.91,1705618800
1705622400000,0.92,1705622400
1705626000000,1.11,1705626000
1705629600000,0.87,1705629600
1705633200000,0.81,1705633200
1705636800000,1.07,1705636800
1705640400000,1.14,1705640400
1705644000000,1.31,1705644000
1705647600000,0.81,1705647600
1705651200000,1.06,1705651200
1705654800000,1.15,1705654800
1705658400000,0.96,1705658400
1705662000000,0.91,1705662000
1705665600000,0.89,1705665600
1705669200000,0.96,1705669200
1705672800000,0.89,1705672800
1705676400000,0.98,1705676400
1705680000000,0.87,1705680000
1705683600000,1.2,1705683600
1705687200000,1.17,1705687200
1705690800000,1.0,1705690800
1705694400000,0.98,1705694400
1705698000000,1.06,1705698000
1705701600000,1.2,1705701600
1705705200000,0.83,1705705200
1705708800000,0.7,1705708800
1705712400000,1.23,1705712400
1705716000000,0.91,1705716000
1705719600000,1.19,1705719600
1705723200000,0.69,1705723200
1705726800000,1.05,1705726800
1705730400000,1.0,1705730400
1705734000000,0.96,1705734000
1705737600000,0.82,1705737600
1705741200000,0.79,1705741200
1705744800000,1.03,1705744800
1705748400000,0.99,1705748400
1705752000000,1.15,1705752000
1705755600000,0.89,1705755600
1705759200000,0.9,1705759200
1705762800000,1.12,1705762800
1705766400000,1.13,1705766400
1705770000000,0.98,1705770000
1705773600000,0.98,1705773600
1705777200000,1.05,1705777200
1705780800000,1.3,1705780800
1705784400000,0.94,1705784400
1705788000000,0.81,1705788000
1705791600000,0.89,1705791600
1705795200000,0.97,1705795200
1705798800000,1.33,1705798800
1705802400000,1.0,1705802400
1705806000000,0.78,1705806000
1705809600000,1.06,1705809600
1705813200000,0.73,1705813200
1705816800000,0.83,1705816800
1705820400000,1.2,1705820400
1705824000000,1.14,1705824000
1705827600000,1.48,1705827600
1705831200000,1.13,1705831200
1705834800000,0.67,1705834800
1705838400000,1.04,1705838400
1705842000000,1.21,1705842000
1705845600000,0.84,1705845600
1705849200000,0.77,1705849200
1705852800000,0.92,1705852800
1705856400000,1.49,1705856400
1705860000000,1.07,1705860000
1705863600000,1.06,1705863600
1705867200000,0.83,1705867200
1705870800000,1.36,1705870800
1705874400000,0.73,1705874400
1705878000000,0.96,1705878000
1705881600000,0.98,1705881600
1705885200000,0.78,1705885200
1705888800000,0.95,1705888800
1705892400000,0.83,1705892400
1705896000000,0.73,1705896000
1705899600000,1.2,1705899600
1705903200000,1.09,1705903200
1705906800000,0.75,1705906800
1705910400000,0.95,1705910400
1705914000000,0.82,1705914000
1705917600000,0.97,1705917600
1705921200000,1.17,1705921200
1705924800000,1.05,1705924800
1705928400000,1.04,1705928400
1705932000000,0.87,1705932000
1705935600000,1.03,1705935600
1705939200000,0.98,1705939200
1705942800000,1.11,1705942800
1705946400000,0.74,1705946400
1705950000000,0.87,1705950000
