start_time,c,h,l,o,t
1704067200000,0.036737,0.037552,0.036737,0.037499,1704067200
1704070800000,0.035642,0.036737,0.035642,0.036737,1704070800
1704074400000,0.034971,0.035642,0.034793,0.035642,1704074400
1704078000000,0.033575,0.035091,0.03354,0.034971,1704078000
1704081600000,0.032568,0.033575,0.032567,0.033575,1704081600
1704085200000,0.031234,0.032597,0.031142,0.032568,1704085200
1704088800000,0.029379,0.031235,0.029379,0.031234,1704088800
1704092400000,0.027213,0.029379,0.027213,0.029379,1704092400
1704096000000,0.028246,0.028246,0.027213,0.027213,1704096000
1704099600000,0.030443,0.030443,0.028246,0.028246,1704099600
1704103200000,0.032309,0.032309,0.030443,0.030443,1704103200
1704106800000,0.033969,0.033969,0.032309,0.032309,1704106800
1704110400000,0.03576,0.03576,0.033959,0.033969,1704110400
1704114000000,0.036268,0.036454,0.03576,0.03576,1704114000
1704117600000,0.035226,0.036268,0.035226,0.036268,1704117600
1704121200000,0.033656,0.035226,0.033656,0.035226,1704121200
1704124800000,0.032462,0.033776,0.032462,0.033656,1704124800
1704128400000,0.030866,0.032462,0.030866,0.032462,1704128400
1704132000000,0.031883,0.031914,0.030747,0.030866,1704132000
1704135600000,0.03218,0.032281,0.031882,0.031883,1704135600
1704139200000,0.041163,0.041163,0.03218,0.03218,1704139200
1704142800000,0.051017,0.051017,0.041163,0.041163,1704142800
1704146400000,0.058779,0.058779,0.051017,0.051017,1704146400
1704150000000,0.065743,0.065743,0.058779,0.058779,1704150000
1704153600000,0.077835,0.077835,0.065743,0.065743,1704153600
1704157200000,0.090053,0.090053,0.077835,0.077835,1704157200
1704160800000,0.087263,0.091374,0.087263,0.090053,1704160800
1704164400000,0.073419,0.087263,0.073419,0.087263,1704164400
1704168000000,0.058725,0.073419,0.058725,0.073419,1704168000
1704171600000,0.048714,0.058725,0.048714,0.058725,1704171600
1704175200000,0.040209,0.048714,0.040209,0.048714,1704175200
1704178800000,0.035179,0.040209,0.035179,0.040209,1704178800
1704182400000,0.034302,0.035179,0.033589,0.035179,1704182400
1704186000000,0.03733,0.03733,0.034302,0.034302,1704186000
1704189600000,0.048489,0.048489,0.035505,0.03733,1704189600
1704193200000,0.059678,0.059678,0.048489,0.048489,1704193200
1704196800000,0.065766,0.065766,0.059678,0.059678,1704196800
1704200400000,0.067907,0.067958,0.065766,0.065766,1704200400
1704204000000,0.06103,0.067907,0.06103,0.067907,1704204000
1704207600000,0.053942,0.06103,0.053942,0.06103,1704207600
1704211200000,0.049513,0.053942,0.049513,0.053942,1704211200
1704214800000,0.0402,0.049513,0.0402,0.049513,1704214800
1704218400000,0.031987,0.0402,0.031987,0.0402,1704218400
1704222000000,0.026557,0.031987,0.026517,0.031987,1704222000
1704225600000,0.024466,0.026557,0.0244,0.026557,1704225600
1704229200000,0.025008,0.025008,0.023729,0.024466,1704229200
1704232800000,0.023963,0.025512,0.023963,0.025008,1704232800
1704236400000,0.021201,0.023963,0.021201,0.023963,1704236400
1704240000000,0.021715,0.021715,0.020982,0.021201,1704240000
1704243600000,0.022034,0.022034,0.021711,0.021715,1704243600
1704247200000,0.022714,0.022841,0.022034,0.022034,1704247200
