start_time,c,h,l,o,t
1704067200000,73693.02,74009.91,73688.31,74001.36,1704067200
1704070800000,73859.79,73996.24,73503.94,73693.02,1704070800
1704074400000,73713.73,73859.79,73671.38,73859.79,1704074400
1704078000000,73467.81,73757.5,73315.11,73713.73,1704078000
1704081600000,73690.09,73710.01,73339.06,73467.81,1704081600
1704085200000,73624.16,73720.29,73606.05,73690.09,1704085200
1704088800000,73504.25,73695.99,73494.69,73624.16,1704088800
1704092400000,73672.34,73709.64,73463.93,73504.25,1704092400
1704096000000,73815.96,73822.86,73623.04,73672.34,1704096000
1704099600000,74105.05,74106.02,73815.96,73815.96,1704099600
1704103200000,74848.28,74848.28,74103.42,74105.05,1704103200
1704106800000,75367.29,75468.88,74848.28,74848.28,1704106800
1704110400000,75309.89,75624.59,75302.75,75367.29,1704110400
1704114000000,75346.74,75409.91,75305.77,75309.89,1704114000
1704117600000,75178.52,75418.35,75162.75,75346.74,1704117600
1704121200000,75040.71,75178.52,74812.06,75178.52,1704121200
1704124800000,75356.29,75365.08,75036.01,75040.71,1704124800
1704128400000,75270.19,75367.17,75257.43,75356.29,1704128400
1704132000000,75205.44,75500.23,74925.02,75270.19,1704132000
1704135600000,75858.68,75858.68,75049.29,75205.44,1704135600
1704139200000,77409.46,77464.79,75858.68,75858.68,1704139200
1704142800000,77533.21,77879.3,77409.46,77409.46,1704142800
1704146400000,77589.25,77589.25,77356.15,77533.21,1704146400
1704150000000,76601.28,77739.58,76283.27,77589.25,1704150000
1704153600000,76319.21,77686.08,76012.41,76601.28,1704153600
1704157200000,76323.63,76662.73,76112.02,76319.21,1704157200
1704160800000,78327.52,78327.52,76307.7,76323.63,1704160800
1704164400000,79145.09,79311.92,78327.52,78327.52,1704164400
1704168000000,79275.6,79609.84,79145.09,79145.09,1704168000
1704171600000,79544.96,79563.59,79147.84,79275.6,1704171600
1704175200000,79733.17,79733.17,79532.92,79544.96,1704175200
1704178800000,80272.46,80272.46,79664.72,79733.17,1704178800
1704182400000,80570.91,80570.91,79944.89,80272.46,1704182400
1704186000000,81272.17,81287.32,80515.77,80570.91,1704186000
1704189600000,80703.04,81326.05,80624.17,81272.17,1704189600
1704193200000,80154.94,80758.47,80154.94,80703.04,1704193200
1704196800000,79932.55,80215.8,79900.37,80154.94,1704196800
1704200400000,80958.3,80958.3,79684.07,79932.55,1704200400
1704204000000,79881.21,81491.88,79309.89,80958.3,1704204000
1704207600000,80147.23,80285.45,79075.65,79881.21,1704207600
1704211200000,80983.6,81029.28,80147.23,80147.23,1704211200
1704214800000,80625.44,81117.94,80513.97,80983.6,1704214800
1704218400000,81328.89,81328.89,80622.46,80625.44,1704218400
