start_time,open_interest,high open interest,low open interest,open value of open interest,funding_rate,high funding rate,low funding rate,open funding rate,long_account,longShortRatio,shortAccount
1.70407E+12,73693.02,74009.91,73688.31,74001.36,0.036737,0.037552,0.036737,0.037499,60.11,1.51,39.89
1.70407E+12,73859.79,73996.24,73503.94,73693.02,0.035642,0.036737,0.035642,0.036737,59.61,1.48,40.39
1.70407E+12,73713.73,73859.79,73671.38,73859.79,0.034971,0.035642,0.034793,0.035642,59.37,1.46,40.63
1.70408E+12,73467.81,73757.5,73315.11,73713.73,0.033575,0.035091,0.03354,0.034971,59.44,1.47,40.56
1.70408E+12,73690.09,73710.01,73339.06,73467.81,0.032568,0.033575,0.032567,0.033575,59.76,1.49,40.24
1.70409E+12,73624.16,73720.29,73606.05,73690.09,0.031234,0.032597,0.031142,0.032568,60.08,1.51,39.92
1.70409E+12,73504.25,73695.99,73494.69,73624.16,0.029379,0.031235,0.029379,0.031234,60.1,1.51,39.9
1.70409E+12,73672.34,73709.64,73463.93,73504.25,0.027213,0.029379,0.027213,0.029379,60.37,1.52,39.63
1.7041E+12,73815.96,73822.86,73623.04,73672.34,0.028246,0.028246,0.027213,0.027213,60.16,1.51,39.84
1.7041E+12,74105.05,74106.02,73815.96,73815.96,0.030443,0.030443,0.028246,0.028246,59.62,1.48,40.38
1.7041E+12,74848.28,74848.28,74103.42,74105.05,0.032309,0.032309,0.030443,0.030443,58.63,1.42,41.37
1.70411E+12,75367.29,75468.88,74848.28,74848.28,0.033969,0.033969,0.032309,0.032309,57.73,1.37,42.27
1.70411E+12,75309.89,75624.59,75302.75,75367.29,0.03576,0.03576,0.033959,0.033969,56.55,1.3,43.45
1.70411E+12,75346.74,75409.91,75305.77,75309.89,0.036268,0.036454,0.03576,0.03576,56.3,1.29,43.7
1.70412E+12,75178.52,75418.35,75162.75,75346.74,0.035226,0.036268,0.035226,0.036268,56.23,1.29,43.77
1.70412E+12,75040.71,75178.52,74812.06,75178.52,0.033656,0.035226,0.033656,0.035226,55.97,1.27,44.03
1.70412E+12,75356.29,75365.08,75036.01,75040.71,0.032462,0.033776,0.032462,0.033656,56.16,1.28,43.84
1.70413E+12,75270.19,75367.17,75257.43,75356.29,0.030866,0.032462,0.030866,0.032462,56.06,1.28,43.94
1.70413E+12,75205.44,75500.23,74925.02,75270.19,0.031883,0.031914,0.030747,0.030866,55.62,1.25,44.38
1.70414E+12,75858.68,75858.68,75049.29,75205.44,0.03218,0.032281,0.031882,0.031883,55.52,1.25,44.48
1.70414E+12,77409.46,77464.79,75858.68,75858.68,0.041163,0.041163,0.03218,0.03218,55.19,1.23,44.81
1.70414E+12,77533.21,77879.3,77409.46,77409.46,0.051017,0.051017,0.041163,0.041163,53.21,1.14,46.79
1.70415E+12,77589.25,77589.25,77356.15,77533.21,0.058779,0.058779,0.051017,0.051017,52.33,1.1,47.67
1.70415E+12,76601.28,77739.58,76283.27,77589.25,0.065743,0.065743,0.058779,0.058779,51.85,1.08,48.15
1.70415E+12,76319.21,77686.08,76012.41,76601.28,0.077835,0.077835,0.065743,0.065743,51.99,1.08,48.01
1.70416E+12,76323.63,76662.73,76112.02,76319.21,0.090053,0.090053,0.077835,0.077835,51.97,1.08,48.03
1.70416E+12,78327.52,78327.52,76307.7,76323.63,0.087263,0.091374,0.087263,0.090053,50.96,1.04,49.04
1.70416E+12,79145.09,79311.92,78327.52,78327.52,0.073419,0.087263,0.073419,0.087263,50.65,1.03,49.35
1.70417E+12,79275.6,79609.84,79145.09,79145.09,0.058725,0.073419,0.058725,0.073419,49.73,0.99,50.27
1.70417E+12,79544.96,79563.59,79147.84,79275.6,0.048714,0.058725,0.048714,0.058725,48.14,0.93,51.86
1.70418E+12,79733.17,79733.17,79532.92,79544.96,0.040209,0.048714,0.040209,0.048714,47.77,0.92,52.23
1.70418E+12,80272.46,80272.46,79664.72,79733.17,0.035179,0.040209,0.035179,0.040209,47.65,0.91,52.35
1.70418E+12,80570.91,80570.91,79944.89,80272.46,0.034302,0.035179,0.033589,0.035179,48.25,0.93,51.75
1.70419E+12,81272.17,81287.32,80515.77,80570.91,0.03733,0.03733,0.034302,0.034302,48.7,0.95,51.3
