start_time,datetime,inflow_mean,inflow_mean_ma7,inflow_top10,inflow_total
1704067200000,2024-01-01 00:00:00,0.04021038,2.06439333,6.15483109,12.18374536
1704070800000,2024-01-01 01:00:00,0.44472819,2.1193977,246.26179123,257.94235084
1704074400000,2024-01-01 02:00:00,0.0853629,0.14561915,19.12243688,25.43814561
1704078000000,2024-01-01 03:00:00,2.68952638,0.51027581,547.5321729,554.04243374
1704081600000,2024-01-01 04:00:00,0.72469126,0.59305284,191.99301567,205.0876265
1704085200000,2024-01-01 05:00:00,0.12935014,0.59691692,13.56478222,15.65136685
1704088800000,2024-01-01 06:00:00,0.84200679,0.70798229,217.17918783,225.65781969
1704092400000,2024-01-01 07:00:00,0.32063642,0.74804315,103.69923519,114.1465663
1704096000000,2024-01-01 08:00:00,0.97741639,0.82414147,456.55874884,476.97919897
1704099600000,2024-01-01 09:00:00,0.06015231,0.82053996,15.81210122,27.97082315
1704103200000,2024-01-01 10:00:00,0.28094884,0.47645745,125.60097803,137.94588116
1704106800000,2024-01-01 11:00:00,0.06156543,0.38172519,21.1782233,31.76775958
1704110400000,2024-01-01 12:00:00,0.71611866,0.46554926,370.2421943,383.8396023
1704114000000,2024-01-01 13:00:00,0.0505101,0.35247831,13.67586718,24.9519889
1704117600000,2024-01-01 14:00:00,0.88259404,0.43275797,508.72891825,534.85198769
1704121200000,2024-01-01 15:00:00,0.0539012,0.30082723,14.62455809,25.76477182
1704124800000,2024-01-01 16:00:00,0.39984537,0.34935481,155.76941356,168.73474405
1704128400000,2024-01-01 17:00:00,0.11890677,0.32620594,44.24389631,61.11808072
1704132000000,2024-01-01 18:00:00,0.70633239,0.4183155,394.64199539,455.58439331
1704135600000,2024-01-01 19:00:00,0.05869137,0.32439732,10.41606757,28.17185762
1704139200000,2024-01-01 20:00:00,0.85790055,0.43973881,462.87988359,493.29281413
1704142800000,2024-01-01 21:00:00,0.57906119,0.39637698,98.49857711,103.65195266
1704146400000,2024-01-01 22:00:00,0.6639542,0.48352741,471.57882188,540.45871858
1704150000000,2024-01-01 23:00:00,0.03824485,0.43187019,6.31086984,13.07973792
1704153600000,2024-01-02 00:00:00,0.05337125,0.42250797,5.60651101,9.92705165
1704157200000,2024-01-02 01:00:00,0.5729405,0.40345199,360.26756458,452.62299492
1704160800000,2024-01-02 02:00:00,2.41739771,0.74041004,722.36003847,766.31507396
1704164400000,2024-01-02 03:00:00,0.20196288,0.64670465,34.38179378,52.10642211
1704168000000,2024-01-02 04:00:00,0.29472473,0.60608516,107.24168978,132.6261305
1704171600000,2024-01-02 05:00:00,1.702853,0.75449927,812.88752658,890.59212049
1704175200000,2024-01-02 06:00:00,1.46029314,0.95764903,570.72323031,601.64077189
1704178800000,2024-01-02 07:00:00,0.08238415,0.96179373,13.17038702,29.82306225
1704182400000,2024-01-02 08:00:00,0.17272681,0.90462035,74.19658044,100.18154951
1704186000000,2024-01-02 09:00:00,0.50720676,0.63173592,313.01874673,356.56635312
