start_time,buy,sell,time
1704067200000,4686.412,3771.501,1704067200
1704070800000,4783.838,4259.573,1704070800
1704074400000,2141.259,2511.808,1704074400
1704078000000,3501.132,4618.859,1704078000
1704081600000,3155.432,3200.993,1704081600
1704085200000,1696.938,2442.619,1704085200
1704088800000,2299.336,1633.683,1704088800
1704092400000,2086.176,2368.874,1704092400
1704096000000,1791.092,1882.654,1704096000
1704099600000,2833.184,2946.696,1704099600
1704103200000,2905.867,2900.871,1704103200
1704106800000,2717.682,3247.356,1704106800
1704110400000,3286.281,3094.207,1704110400
1704114000000,1772.165,1497.585,1704114000
1704117600000,2391.936,2942.023,1704117600
1704121200000,4388.174,3789.113,1704121200
1704124800000,3469.787,3656.171,1704124800
1704128400000,1670.386,1740.633,1704128400
1704132000000,10240.301,8655.225,1704132000
1704135600000,9415.678,7621.605,1704135600
1704139200000,13207.671,10440.526,1704139200
1704142800000,4713.037,5823.907,1704142800
1704146400000,3314.391,3318.516,1704146400
1704150000000,14789.843,10799.584,1704150000
1704153600000,32022.042,27348.96,1704153600
1704157200000,16237.08,17504.896,1704157200
1704160800000,9533.905,9024.093,1704160800
1704164400000,8677.513,10200.852,1704164400
1704168000000,5063.767,6262.827,1704168000
1704171600000,3793.405,4138.166,1704171600
1704175200000,2587.299,3124.831,1704175200
1704178800000,11037.717,10609.827,1704178800
1704182400000,14021.427,13077.421,1704182400
1704186000000,7137.204,7080.167,1704186000
1704189600000,6111.266,7709.656,1704189600
1704193200000,8695.374,9294.581,1704193200
1704196800000,7592.758,7935.516,1704196800
1704200400000,7510.783,7479.999,1704200400
1704204000000,16659.632,19177.72,1704204000
1704207600000,15877.88,16711.608,1704207600
1704211200000,10396.844,10286.647,1704211200
1704214800000,5811.239,6515.102,1704214800
1704218400000,5894.458,4986.839,1704218400
1704222000000,7326.83,8447.911,1704222000
1704225600000,7428.451,7601.83,1704225600
1704229200000,8602.161,8318.825,1704229200
1704232800000,5287.486,6307.004,1704232800
1704236400000,3466.335,3880.377,1704236400
1704240000000,5218.655,4672.517,1704240000
1704243600000,3680.884,2743.479,1704243600
1704247200000,3455.295,3661.554,1704247200
1704250800000,1848.242,1969.226,1704250800
1704254400000,1804.188,2331.641,1704254400
1704258000000,2311.378,2668.307,1704258000
1704261600000,3247.465,2400.04,1704261600
1704265200000,5309.503,6974.914,1704265200
1704268800000,4922.759,4157.553,1704268800
1704272400000,7875.88,6747.882,1704272400
1704276000000,4814.244,6265.578,1704276000
1704279600000,36390.229,47032.135,1704279600
1704283200000,82597.933,91862.937,1704283200
1704286800000,16032.125,17860.009,1704286800
1704290400000,13427.7,13811.341,1704290400
1704294000000,18377.224,15304.747,1704294000
1704297600000,23928.52,25373.358,1704297600
1704301200000,9646.098,10291.414,1704301200
1704304800000,11731.755,14822.05,1704304800
1704308400000,13313.954,12539.576,1704308400
1704312000000,4275.01,4498.473,1704312000
1704315600000,5600.679,5465.35,1704315600
1704319200000,3091.132,4051.13,1704319200
1704322800000,2837.243,2611.919,1704322800
1704326400000,3965.734,4243.527,1704326400
1704330000000,3954.613,3945.297,1704330000
1704333600000,5597.103,4599.673,1704333600
1704337200000,3046.084,3602.399,1704337200
1704340800000,2483.379,2875.339,1704340800
1704344400000,2613.726,2498.786,1704344400
1704348000000,2033.486,2632.365,1704348000
1704351600000,8260.092,10643.976,1704351600
1704355200000,4928.379,4571.065,1704355200
1704358800000,4029.619,3851.303,1704358800
1704362400000,6888.84,7002.557,1704362400
1704366000000,5150.681,4930.804,1704366000
1704369600000,8250.237,7370.795,1704369600
1704373200000,5346.643,5253.09,1704373200
1704376800000,10985.426,10027.412,1704376800
1704380400000,21532.054,20766.038,1704380400
1704384000000,9302.538,10916.832,1704384000
1704387600000,9176.035,8701.869,1704387600
1704391200000,4072.983,3839.454,1704391200
1704394800000,10557.116,10721.492,1704394800
1704398400000,14676.699,12565.316,1704398400
1704402000000,8994.715,8424.021,1704402000
1704405600000,7822.864,8502.081,1704405600
1704409200000,3646.777,4064.949,1704409200
1704412800000,5116.358,4930.134,1704412800
1704416400000,22745.98,26173.121,1704416400
1704420000000,12866.753,11718.525,1704420000
1704423600000,4511.064,4432.024,1704423600
1704427200000,6534.389,6442.65,1704427200
1704430800000,3440.786,3534.625,1704430800
1704434400000,5485.239,4326.539,1704434400
1704438000000,3254.353,3801.884,1704438000
1704441600000,3167.536,3135.857,1704441600
1704445200000,10845.511,10306.642,1704445200
1704448800000,6748.669,8596.919,1704448800
1704452400000,5671.041,5460.936,1704452400
1704456000000,7097.437,6907.544,1704456000
1704459600000,8538.973,8124.049,1704459600
1704463200000,14618.468,17059.919,1704463200
1704466800000,9820.955,10198.582,1704466800
1704470400000,7373.39,7753.426,1704470400
1704474000000,9889.906,8646.258,1704474000
1704477600000,3819.267,3866.986,1704477600
1704481200000,4641.308,4586.269,1704481200
1704484800000,13943.848,11326.161,1704484800
1704488400000,6040.857,6643.518,1704488400
1704492000000,2851.88,3036.27,1704492000
1704495600000,7360.929,7574.034,1704495600
1704499200000,2956.319,3193.368,1704499200
1704502800000,2709.968,2916.536,1704502800
1704506400000,2523.284,3108.216,1704506400
1704510000000,2528.505,2407.843,1704510000
1704513600000,1418.226,1534.521,1704513600
1704517200000,4591.271,4835.157,1704517200
1704520800000,5358.555,5688.526,1704520800
1704524400000,4795.681,4001.628,1704524400
1704528000000,3003.528,2539.172,1704528000
1704531600000,1987.473,2254.335,1704531600
1704535200000,2958.697,2312.237,1704535200
1704538800000,1498.642,2017.512,1704538800
1704542400000,1906.254,2326.496,1704542400
1704546000000,2596.482,2012.405,1704546000
1704549600000,4580.862,4028.195,1704549600
1704553200000,2194.301,2035.92,1704553200
1704556800000,2508.196,2476.331,1704556800
1704560400000,2703.367,2360.083,1704560400
1704564000000,4372.22,4068.783,1704564000
