start_time,longAccount,longShortRatio,shortAccount,time
1704067200000,57.77,1.37,42.23,1704067200
1704070800000,57.3,1.34,42.7,1704070800
1704074400000,57.09,1.33,42.91,1704074400
1704078000000,57.09,1.33,42.91,1704078000
1704081600000,57.59,1.36,42.41,1704081600
1704085200000,57.59,1.36,42.41,1704085200
1704088800000,57.9,1.38,42.1,1704088800
1704092400000,57.9,1.38,42.1,1704092400
1704096000000,57.75,1.37,42.25,1704096000
1704099600000,57.17,1.34,42.83,1704099600
1704103200000,56.54,1.3,43.46,1704103200
1704106800000,55.81,1.26,44.19,1704106800
1704110400000,55.1,1.23,44.9,1704110400
1704114000000,54.87,1.22,45.13,1704114000
1704117600000,54.83,1.21,45.17,1704117600
1704121200000,54.83,1.21,45.17,1704121200
1704124800000,54.82,1.21,45.18,1704124800
1704128400000,54.87,1.22,45.13,1704128400
1704132000000,54.5,1.2,45.5,1704132000
1704135600000,53.8,1.17,46.2,1704135600
1704139200000,53.18,1.14,46.82,1704139200
1704142800000,51.59,1.07,48.41,1704142800
1704146400000,51.27,1.05,48.73,1704146400
1704150000000,51.01,1.04,48.99,1704150000
1704153600000,50.51,1.02,49.49,1704153600
1704157200000,49.98,1.0,50.02,1704157200
1704160800000,49.98,1.0,50.02,1704160800
1704164400000,51.48,1.06,48.52,1704164400
1704168000000,50.85,1.04,49.15,1704168000
1704171600000,50.08,1.0,49.92,1704171600
1704175200000,49.93,1.0,50.07,1704175200
1704178800000,49.97,1.0,50.03,1704178800
1704182400000,49.88,1.0,50.12,1704182400
1704186000000,49.86,0.99,50.14,1704186000
1704189600000,49.86,0.99,50.14,1704189600
1704193200000,50.32,1.01,49.68,1704193200
1704196800000,50.32,1.01,49.68,1704196800
1704200400000,50.38,1.02,49.62,1704200400
1704204000000,50.25,1.01,49.75,1704204000
1704207600000,50.15,1.01,49.85,1704207600
1704211200000,50.15,1.01,49.85,1704211200
1704214800000,51.01,1.04,48.99,1704214800
1704218400000,51.01,1.04,48.99,1704218400
1704222000000,51.26,1.05,48.74,1704222000
