start_time,open_interest,high open interest,low open interest,open value of open interest,funding_rate,high funding rate,low funding rate,open funding rate,long_short_ratio,longShortRatio,shortAccount,active_address,exchange_inflow_x,exchange_outflow_x,price_x,transaction_count_x,active_addresses,exchange_inflow_y,exchange_outflow_y,price_y,transaction_count_y
1704150000000.0,77589.25,77589.25,77356.15,77533.21,0.058779,0.058779,0.051017,0.051017,52.33,1.1,47.67,1499,0.03824485,12.70134231,44179.55,379,52142,0.927499838697813,1.4957981618333331,44152.22690443671,29663
1704150000000.0,76601.28,77739.58,76283.27,77589.25,0.065743,0.065743,0.058779,0.058779,51.85,1.08,48.15,1499,0.03824485,12.70134231,44179.55,379,52142,0.927499838697813,1.4957981618333331,44152.22690443671,29663
1704150000000.0,76319.21,77686.08,76012.41,76601.28,0.077835,0.077835,0.065743,0.065743,51.99,1.08,48.01,1499,0.03824485,12.70134231,44179.55,379,52142,0.927499838697813,1.4957981618333331,44152.22690443671,29663
1704240000000.0,79785.33,80247.63,79743.35,79834.3,0.021201,0.023963,0.021201,0.023963,50.37,1.02,49.63,1777,0.52474935,10.39385823,45135.61,608,61871,0.571604482424089,0.8424014641322313,45075.078821777104,17739
1704240000000.0,80287.16,80348.02,79785.33,79785.33,0.021715,0.021715,0.020982,0.021201,50.69,1.03,49.31,1777,0.52474935,10.39385823,45135.61,608,61871,0.571604482424089,0.8424014641322313,45075.078821777104,17739
1704240000000.0,80587.28,80587.28,80274.37,80287.16,0.022034,0.022034,0.021711,0.021715,51.15,1.05,48.85,1777,0.52474935,10.39385823,45135.61,608,61871,0.571604482424089,0.8424014641322313,45075.078821777104,17739
1704330000000.0,68535.65,68709.09,68330.03,68680.72,0.01,0.01,0.01,0.01,62.19,1.65,37.81,757,0.56122907,8.69826972,42708.01,480,43421,0.5317238245132013,0.4849185287848297,42707.270376470646,16910
1704330000000.0,68521.9,68647.04,68485.23,68535.65,0.01,0.01,0.01,0.01,62.07,1.64,37.93,757,0.56122907,8.69826972,42708.01,480,43421,0.5317238245132013,0.4849185287848297,42707.270376470646,16910
1704330000000.0,68399.43,68777.38,68399.43,68521.9,0.01,0.01,0.01,0.01,61.55,1.6,38.45,757,0.56122907,8.69826972,42708.01,480,43421,0.5317238245132013,0.4849185287848297,42707.270376470646,16910
1704420000000.0,67535.78,71257.77,67335.87,71183.64,0.01,0.01,0.01,0.01,53.74,1.16,46.26,846,0.07219942,14.70184317,43506.0,255,35240,1.069635600242857,1.9076986265316047,43592.70693034231,7215
1704420000000.0,68374.06,68381.52,67404.01,67535.78,0.01,0.01,0.01,0.01,54.41,1.19,45.59,846,0.07219942,14.70184317,43506.0,255,35240,1.069635600242857,1.9076986265316047,43592.70693034231,7215
1704420000000.0,68544.82,68660.12,68335.64,68374.06,0.01,0.01,0.01,0.01,54.43,1.19,45.57,846,0.07219942,14.70184317,43506.0,255,35240,1.069635600242857,1.9076986265316047,43592.70693034231,7215
1704510000000.0,67043.31,67415.92,67014.6,67367.32,0.01,0.01,0.01,0.01,53.67,1.16,46.33,540,5.69303593,7.6005054,43931.1,360,47073,1.113676407448426,1.559318135283286,43991.09533863955,12159
1704510000000.0,67004.72,67196.18,66932.69,67043.31,0.01,0.01,0.01,0.01,54.21,1.18,45.79,540,5.69303593,7.6005054,43931.1,360,47073,1.113676407448426,1.559318135283286,43991.09533863955,12159
1704510000000.0,67091.57,67129.77,66967.96,67004.72,0.01,0.01,0.01,0.01,54.19,1.18,45.81,540,5.69303593,7.6005054,43931.1,360,47073,1.113676407448426,1.559318135283286,43991.09533863955,12159
1704600000000.0,69255.1,69351.71,69246.96,69330.6,0.01,0.01,0.01,0.01,53.9,1.17,46.1,1706,1.01360667,8.17594756,44000.0,270,40840,0.7083857730842105,0.82795352434375,44018.34571332488,9981
1704600000000.0,69380.27,69380.27,69144.99,69255.1,0.01,0.01,0.01,0.01,54.03,1.18,45.97,1706,1.01360667,8.17594756,44000.0,270,40840,0.7083857730842105,0.82795352434375,44018.34571332488,9981
1704600000000.0,69425.18,69550.09,69348.57,69380.27,0.01,0.01,0.01,0.01,53.85,1.17,46.15,1706,1.01360667,8.17594756,44000.0,270,40840,0.7083857730842105,0.82795352434375,44018.34571332488,9981
1704690000000.0,70324.94,70343.84,69803.04,69869.99,0.01,0.01,0.01,0.01,55.1,1.23,44.9,206,0.12447859,6.61284606,43641.74,159,14925,0.9567840170416668,0.4896806784924623,43651.13289881485,7730
1704690000000.0,70722.01,70722.01,70307.19,70324.94,0.01,0.01,0.01,0.01,55.5,1.25,44.5,206,0.12447859,6.61284606,43641.74,159,14925,0.9567840170416668,0.4896806784924623,43651.13289881485,7730
1704690000000.0,70304.61,70847.66,69914.41,70722.01,0.01,0.01,0.01,0.01,55.85,1.27,44.15,206,0.12447859,6.61284606,43641.74,159,14925,0.9567840170416668,0.4896806784924623,43651.13289881485,7730
1704780000000.0,73599.0,73684.36,73454.57,73679.76,0.01,0.01,0.01,0.01,42.63,0.74,57.37,1211,1.34570473,8.54555661,46788.01,703,58555,0.8660694089142335,3.101618606947853,46821.411415171664,40461
1704780000000.0,74329.21,74329.21,73599.0,73599.0,0.01,0.01,0.01,0.01,42.67,0.74,57.33,1211,1.34570473,8.54555661,46788.01,703,58555,0.8660694089142335,3.101618606947853,46821.411415171664,40461
1704780000000.0,74567.49,74588.91,74271.22,74329.21,0.01,0.01,0.01,0.01,42.71,0.75,57.29,1211,1.34570473,8.54555661,46788.01,703,58555,0.8660694089142335,3.101618606947853,46821.411415171664,40461
1704870000000.0,71439.4,71469.42,71283.82,71283.82,0.01,0.01,0.01,0.01,55.11,1.23,44.89,1050,0.17007035,10.50708009,45757.98,579,47331,1.1109475255730443,2.47818820497014,45814.36078407754,14878
1704870000000.0,71392.28,71583.62,71267.39,71439.4,0.01,0.01,0.01,0.01,55.32,1.24,44.68,1050,0.17007035,10.50708009,45757.98,579,47331,1.1109475255730443,2.47818820497014,45814.36078407754,14878
1704870000000.0,71587.08,71611.88,71085.46,71392.28,0.01,0.01,0.01,0.01,55.42,1.24,44.58,1050,0.17007035,10.50708009,45757.98,579,47331,1.1109475255730443,2.47818820497014,45814.36078407754,14878
1704960000000.0,67489.15,67551.59,67205.9,67284.58,0.01,0.01,0.01,0.01,61.64,1.61,38.36,1858,2.2690379,18.17152855,46277.0,619,57689,1.3188409708127804,1.7096019939268117,46301.93684315105,18777
1704960000000.0,67734.86,67734.86,67470.64,67489.15,0.01,0.01,0.01,0.01,62.13,1.64,37.87,1858,2.2690379,18.17152855,46277.0,619,57689,1.3188409708127804,1.7096019939268117,46301.93684315105,18777
1704960000000.0,67732.51,67737.34,67569.56,67734.86,0.01,0.01,0.01,0.01,62.4,1.66,37.6,1858,2.2690379,18.17152855,46277.0,619,57689,1.3188409708127804,1.7096019939268117,46301.93684315105,18777
1705050000000.0,73401.5,73602.19,73329.69,73378.2,0.01,0.01,0.01,0.01,64.7,1.83,35.3,989,0.10906921,19.4501219,45925.92,726,67668,0.9162708823470908,1.4294636893276114,46008.35050908744,12479
1705050000000.0,73354.59,74186.77,73354.59,73401.5,0.01,0.01,0.01,0.01,64.79,1.84,35.21,989,0.10906921,19.4501219,45925.92,726,67668,0.9162708823470908,1.4294636893276114,46008.35050908744,12479
1705050000000.0,73366.08,73601.71,73289.43,73354.59,0.01,0.01,0.01,0.01,64.56,1.82,35.44,989,0.10906921,19.4501219,45925.92,726,67668,0.9162708823470908,1.4294636893276114,46008.35050908744,12479
1705140000000.0,74814.82,74841.41,74552.18,74806.76,0.01,0.01,0.01,0.01,73.69,2.8,26.31,316,0.0281534,4.97542347,42700.12,186,19953,0.5834834647544206,0.7162401278703704,42781.4422131517,12505
1705140000000.0,74532.19,74840.95,74430.55,74814.82,0.01,0.01,0.01,0.01,72.7,2.66,27.3,316,0.0281534,4.97542347,42700.12,186,19953,0.5834834647544206,0.7162401278703704,42781.4422131517,12505
1705140000000.0,74039.72,74790.86,74004.12,74532.19,0.01,0.01,0.01,0.01,72.76,2.67,27.24,316,0.0281534,4.97542347,42700.12,186,19953,0.5834834647544206,0.7162401278703704,42781.4422131517,12505
1705230000000.0,75994.74,76058.38,75932.53,75948.03,0.01,0.01,0.01,0.01,73.13,2.72,26.87,1095,0.30285409,6.38128521,42829.99,513,49199,0.4454894543502432,1.2268750334325398,42802.68338906124,39201
1705230000000.0,75943.53,75994.74,75703.94,75994.74,0.01,0.01,0.01,0.01,73.23,2.74,26.77,1095,0.30285409,6.38128521,42829.99,513,49199,0.4454894543502432,1.2268750334325398,42802.68338906124,39201
1705230000000.0,76241.75,76329.26,75943.53,75943.53,0.01,0.01,0.01,0.01,73.36,2.75,26.64,1095,0.30285409,6.38128521,42829.99,513,49199,0.4454894543502432,1.2268750334325398,42802.68338906124,39201
1705320000000.0,76235.69,76340.96,76235.69,76266.92,0.01,0.01,0.01,0.01,72.54,2.64,27.46,2085,0.04191614,21.13082534,42663.79,474,41545,0.8335821515422536,1.368436211743295,42660.4256556577,11659
1705320000000.0,76356.21,76356.21,76179.62,76235.69,0.01,0.01,0.01,0.01,72.39,2.62,27.61,2085,0.04191614,21.13082534,42663.79,474,41545,0.8335821515422536,1.368436211743295,42660.4256556577,11659
1705320000000.0,76038.72,76597.12,76019.12,76356.21,0.01,0.01,0.01,0.01,72.18,2.6,27.82,2085,0.04191614,21.13082534,42663.79,474,41545,0.8335821515422536,1.368436211743295,42660.4256556577,11659
1705410000000.0,75060.88,75060.88,73962.08,73971.12,0.01,0.01,0.01,0.01,71.61,2.52,28.39,562,0.73433303,8.41157724,42805.83,558,41815,1.046360450805223,1.8790989639076376,42796.05060231478,22631
1705410000000.0,75605.65,75605.65,75060.88,75060.88,0.01,0.01,0.01,0.01,70.97,2.45,29.03,562,0.73433303,8.41157724,42805.83,558,41815,1.046360450805223,1.8790989639076376,42796.05060231478,22631
1705410000000.0,76684.33,77378.37,75585.4,75605.65,0.01,0.01,0.01,0.01,70.89,2.44,29.11,562,0.73433303,8.41157724,42805.83,558,41815,1.046360450805223,1.8790989639076376,42796.05060231478,22631
1705500000000.0,75772.4,75901.61,75605.93,75901.61,0.01,0.01,0.01,0.01,71.81,2.55,28.19,925,0.12170826,6.76574517,42576.01,644,40296,9.58006133805942,0.8342803502604481,42817.96130757982,16239
1705500000000.0,76113.6,76712.03,75677.89,75772.4,0.01,0.01,0.01,0.01,71.95,2.57,28.05,925,0.12170826,6.76574517,42576.01,644,40296,9.58006133805942,0.8342803502604481,42817.96130757982,16239
1705500000000.0,76285.7,76488.9,75948.75,76113.6,0.01,0.01,0.01,0.01,71.89,2.56,28.11,925,0.12170826,6.76574517,42576.01,644,40296,9.58006133805942,0.8342803502604481,42817.96130757982,16239
1705590000000.0,76218.05,76674.17,76218.05,76513.51,0.01,0.01,0.01,0.01,72.52,2.64,27.48,826,0.08345992,6.71316745,42619.32,556,32950,5.604165251002045,0.3615338234898278,42617.2046813519,10512
1705590000000.0,75765.28,76326.33,75765.28,76218.05,0.01,0.01,0.01,0.01,72.45,2.63,27.55,826,0.08345992,6.71316745,42619.32,556,32950,5.604165251002045,0.3615338234898278,42617.2046813519,10512
1705590000000.0,76566.63,76587.14,74958.55,75765.28,0.01,0.01,0.01,0.01,71.66,2.53,28.34,826,0.08345992,6.71316745,42619.32,556,32950,5.604165251002045,0.3615338234898278,42617.2046813519,10512
1705680000000.0,80501.77,80752.44,79969.51,79969.51,0.01,0.01,0.01,0.01,72.84,2.68,27.16,2388,0.3717957,10.46595728,40395.01,1022,54102,0.8895783329413757,4.731130216421255,40359.02914204641,16205
1705680000000.0,80334.06,80865.07,80064.74,80501.77,0.01,0.01,0.01,0.01,72.76,2.67,27.24,2388,0.3717957,10.46595728,40395.01,1022,54102,0.8895783329413757,4.731130216421255,40359.02914204641,16205
1705680000000.0,79095.5,80723.09,78960.92,80334.06,0.01,0.01,0.01,0.01,71.84,2.55,28.16,2388,0.3717957,10.46595728,40395.01,1022,54102,0.8895783329413757,4.731130216421255,40359.02914204641,16205
