start_time,c,h,l,o,t,buy,sell,time,longAccount,longShortRatio,shortAccount
1681603200000,101620.11,101620.11,101314.6,101319.12,1681603200,2401.789,1926.312,1681603200,46.54,0.87,53.46
1681606800000,101610.09,101780.21,101152.07,101620.11,1681606800,6988.972,7992.783,1681606800,46.77,0.88,53.23
1681610400000,101640.04,101654.04,101478.24,101610.09,1681610400,2191.615,1829.544,1681610400,46.65,0.87,53.35
1681614000000,101780.79,101786.18,101640.04,101640.04,1681614000,1580.313,1597.408,1681614000,46.65,0.87,53.35
1681617600000,101676.45,101783.31,101515.06,101780.79,1681617600,2689.337,2147.124,1681617600,46.53,0.87,53.47
1681621200000,101386.43,101739.6,101262.67,101676.45,1681621200,2474.081,3742.85,1681621200,46.96,0.89,53.04
1681624800000,101579.97,101581.64,101377.43,101386.43,1681624800,1796.259,1601.745,1681624800,47.15,0.89,52.85
1681628400000,101288.54,101650.55,101226.45,101579.97,1681628400,3736.463,3115.311,1681628400,47.24,0.9,52.76
1681632000000,101404.01,101405.5,101281.32,101288.54,1681632000,1460.028,1760.163,1681632000,47.51,0.91,52.49
1681635600000,101122.89,101462.0,100928.71,101404.01,1681635600,3992.976,4580.598,1681635600,47.54,0.91,52.46
1681639200000,101392.89,101440.72,101099.24,101122.89,1681639200,2161.834,2249.263,1681639200,47.4,0.9,52.6
1681642800000,101309.12,101438.51,101250.69,101392.89,1681642800,3243.616,3589.095,1681642800,47.67,0.91,52.33
1681646400000,101171.18,101313.29,101090.28,101309.12,1681646400,4060.82,3832.55,1681646400,47.5,0.91,52.5
1681650000000,101628.02,101628.02,101103.28,101171.18,1681650000,6356.66,6458.686,1681650000,47.83,0.92,52.17
1681653600000,101651.79,102012.67,101628.02,101628.02,1681653600,5554.017,4395.957,1681653600,47.94,0.92,52.06
1681657200000,101728.26,101923.14,101574.81,101651.79,1681657200,4835.656,4635.858,1681657200,48.13,0.93,51.87
1681660800000,101741.5,101824.27,101540.3,101728.26,1681660800,3860.449,4385.926,1681660800,47.87,0.92,52.13
1681664400000,101999.48,102012.0,101632.79,101741.5,1681664400,3358.689,3273.47,1681664400,47.98,0.92,52.02
1681668000000,101370.86,102238.86,101370.86,101999.48,1681668000,5996.888,3586.902,1681668000,47.96,0.92,52.04
1681671600000,100115.67,101910.6,100115.67,101370.86,1681671600,16189.413,16960.408,1681671600,48.3,0.93,51.7
1681675200000,100018.69,100232.81,99746.72,100115.67,1681675200,10677.094,11105.628,1681675200,47.9,0.92,52.1
1681678800000,99930.72,100056.4,99753.39,100018.69,1681678800,3676.691,3899.582,1681678800,48.52,0.94,51.48
1681682400000,100028.0,100115.65,99930.72,99930.72,1681682400,2696.529,3217.592,1681682400,48.64,0.95,51.36
1681686000000,100077.65,100161.58,100015.62,100028.0,1681686000,2910.177,3449.16,1681686000,48.81,0.95,51.19
1681689600000,98091.86,100358.62,97354.44,100077.65,1681689600,26309.863,35323.563,1681689600,49.06,0.96,50.94
1681693200000,98619.56,98702.65,98030.18,98091.86,1681693200,13184.249,13666.274,1681693200,49.84,0.99,50.16
1681696800000,98616.24,99000.93,98342.02,98619.56,1681696800,7934.224,7385.313,1681696800,51.18,1.05,48.82
1681700400000,99090.53,99109.57,98616.24,98616.24,1681700400,3780.715,3988.607,1681700400,51.66,1.07,48.34
1681704000000,99201.15,99368.62,99090.53,99090.53,1681704000,3842.382,3890.609,1681704000,51.74,1.07,48.26
1681707600000,99348.03,99348.03,99072.61,99201.15,1681707600,3225.183,2907.491,1681707600,51.76,1.07,48.24
1681711200000,99923.91,99923.91,99348.03,99348.03,1681711200,3452.051,4218.589,1681711200,52.09,1.09,47.91
1681714800000,100230.72,100268.78,99838.75,99923.91,1681714800,5487.739,6252.205,1681714800,51.89,1.08,48.11
1681718400000,100462.64,100555.69,100199.2,100230.72,1681718400,7509.368,6633.004,1681718400,51.9,1.08,48.1
1681722000000,100801.82,100883.43,100409.0,100462.64,1681722000,3096.312,3747.576,1681722000,52.77,1.12,47.23
1681725600000,100981.43,101394.85,100801.82,100801.82,1681725600,8317.381,8205.461,1681725600,52.71,1.12,47.29
1681729200000,98968.03,101924.65,98427.19,100981.43,1681729200,24837.465,31569.065,1681729200,53.05,1.13,46.95
1681732800000,99564.6,100440.23,98968.03,98968.03,1681732800,15585.942,16247.668,1681732800,52.72,1.12,47.28
1681736400000,99720.53,100014.53,99124.42,99564.6,1681736400,23577.041,26576.01,1681736400,52.96,1.13,47.04
1681740000000,100342.1,100455.99,99670.63,99720.53,1681740000,12516.213,11406.728,1681740000,53.39,1.15,46.61
1681743600000,100775.3,101027.54,100341.56,100342.1,1681743600,12187.815,13756.875,1681743600,54.42,1.19,45.58
1681747200000,100756.68,101502.35,100441.5,100775.3,1681747200,11985.365,9794.552,1681747200,54.54,1.2,45.46
1681750800000,100763.44,101123.11,100722.01,100756.68,1681750800,5336.75,6071.102,1681750800,55.5,1.25,44.5
