start_time,datetime,netflow_total,is_shutdown,exchange_supply_ratio,flow_mean,flow_total,transactions_count_flow,reserve,reserve_usd,open_interest,inflow_mean,inflow_mean_ma7,inflow_top10,inflow_total,exchange_whale_ratio,funding_rates,outflow_mean,outflow_mean_ma7,outflow_top10,outflow_total,long_liquidations,long_liquidations_usd,short_liquidations,short_liquidations_usd,transactions_count_inflow,transactions_count_outflow,close,high,low,open,volume,taker_buy_ratio,taker_buy_sell_ratio,taker_buy_volume,taker_sell_ratio,taker_sell_volume
1681603200000,2023-04-16 00:00:00,69.90033184999999,0,0.03185522,4.83371229,280.35531297,58,616316.83570177,18671749562.357296,3975353854.2944,0.28974653,0.14911697,89.01658874,153.85540869,0.57857302,0.00794407,1.44750132,3.01570364,74.41855428,83.95507684,0.0,0.0,0.0,0.0,531,58,30277.54,30319.04,30270.11,30295.1,603.52064,0.55475477,1.24595331,72472242.8204,0.44524523,58166098.3849
1681606800000,2023-04-16 01:00:00,-126.72935231,0,0.03184861,0.92609208,28.70885434,31,616190.10634946,18607361870.73436,3968305968.277801,0.26462181,0.15408735,87.84585936,111.93502669,0.7847933,0.00976503,7.69885094,2.97352401,222.55512749,238.664379,11.79171758,353997.00624,0.242,7349.21831,423,31,30236.95,30277.54,30120.0,30277.53,1595.55527,0.46813525,0.88017725,207599668.6988,0.53186475,235861205.86222
1681610400000,2023-04-16 02:00:00,33.639172630000004,0,0.0318503,2.04903478,157.77567819,77,616223.74552209,18653762859.307743,3974670752.145099,0.27101449,0.18299899,99.31447316,151.49709823,0.65555363,0.01,1.53062241,2.98888762,107.16185194,117.8579256,0.001,30.14009,0.358,10878.47415,559,77,30264.2,30284.78,30224.43,30236.96,638.70251,0.54573096,1.20133866,65920829.2388,0.45426904,54872810.7998
1681614000000,2023-04-16 03:00:00,-229.20996767,0,0.03183841,2.61683267,62.80398404,24,615994.53555442,18633582359.314507,3977774057.0928,0.10963956,0.18114713,32.83218643,40.78591604,0.80498833,0.01,11.24982849,4.12457708,265.14154269,269.99588371,0.214,6496.41939,1.075,32602.24353,372,24,30249.37,30269.33,30229.34,30264.2,546.48173,0.49420535,0.97708695,47113379.211,0.50579465,48218205.2601
1681617600000,2023-04-16 04:00:00,200.01459671,0,0.03184871,2.8188203,169.1292182,60,616194.55015113,18655703387.463165,3980029068.9816,0.41678729,0.22335814,193.46815306,247.15486437,0.78278109,0.01,0.78567113,3.80396289,35.13554392,47.14026766,0.0,0.0,1.251,38019.62289,593,60,30298.52,30316.0,30245.82,30249.36,692.66401,0.55539344,1.24917957,81029832.1964,0.44460656,64866440.4331
1681621200000,2023-04-16 05:00:00,-30.20879101,0,0.03184711,0.06416681,1.9250042,30,616164.34136012,18679410098.284058,3973719333.5446,0.19171407,0.24107964,74.97776156,86.07961807,0.87102805,0.01,3.8762803,4.10632271,106.69017479,116.28840908,0.002,60.37906,0.669,20360.63715,449,30,30306.32,30340.06,30295.97,30298.53,894.77371,0.39637005,0.65664412,74248274.6358,0.60362995,113072321.5013
1681624800000,2023-04-16 06:00:00,1412.72945181,0,0.03192004,6.26612831,338.37092878,54,617577.07081193,18711477104.2562,3979529615.0256,1.72590671,0.46706149,1416.3979956,1468.74660737,0.96435831,0.01,1.03735473,3.94658705,38.68113737,56.01715556,0.002,60.38438,0.476,14492.67184,851,54,30306.07,30347.38,30302.68,30306.32,567.70244,0.52837606,1.12033342,54175344.5253,0.47162394,48356447.5888
1681628400000,2023-04-16 07:00:00,97.61726246,0,0.03192504,0.16938927,6.0980138,36,617674.68807439,18756289963.066,3974831780.8783,0.22144561,0.45730422,155.55288047,184.90708533,0.84124889,0.01,2.4247173,4.08618933,65.49830161,87.28982287,0.0,0.0,4.56965531,139399.22704,835,36,30344.97,30399.4,30300.0,30306.06,766.15445,0.54346071,1.19039198,112126679.64916,0.45653929,94193073.8417
1681632000000,2023-04-16 08:00:00,-263.72770998,0,0.03191132,22.33632688,1340.17961285,60,617410.96036441,18732369430.74533,3977784846.2217,0.18483117,0.44590556,96.90071172,149.52841641,0.64804212,0.01,6.88760211,3.97029664,385.68634017,413.25612639,0.002,60.41468,0.042,1278.51452,809,60,30337.4,30353.96,30328.01,30344.97,565.77648,0.45368093,0.83043216,43886979.3799,0.54631907,52848362.2404
1681635600000,2023-04-16 09:00:00,-57.26319959,0,0.03190831,0.84327054,26.98465725,32,617353.69716482,18685691659.55844,3963590801.5171,0.11178973,0.42315916,64.47609998,87.41956636,0.7375477,0.01,4.52133644,4.3975415,128.9370045,144.68276595,0.96929827,29211.00457,0.008,243.34976,782,32,30279.34,30337.41,30254.99,30337.4,1316.58369,0.46521972,0.86992684,119355080.0429,0.53478028,137201284.3122
1681639200000,2023-04-16 10:00:00,145.25877606,0,0.03191579,14.97939391,778.92848311,52,617498.95594088,18697138759.318413,3973324140.006,0.89971054,0.53602645,478.67919108,539.82632673,0.88672813,0.01,7.58783751,3.87439993,387.23739004,394.56755067,0.907,27342.2996,0.0,0.0,600,52,30290.15,30290.16,30257.21,30279.34,951.24663,0.49112746,0.96512864,63956057.4034,0.50887254,66266873.6246
1681642800000,2023-04-16 11:00:00,-35.62740955999999,0,0.03191388,0.12132038,4.6101743,38,617463.32853132,18673164467.67132,3965369424.3218,0.11595611,0.49305056,87.86041608,127.78363808,0.68757172,0.01,4.30029073,4.37648845,133.15515622,163.41104764,1.31119907,39479.56531,0.004,121.24063,1102,38,30226.45,30321.6,30220.4,30290.15,811.54029,0.4740655,0.90137746,97148302.8226,0.5259345,107777604.1016
1681646400000,2023-04-16 12:00:00,115.16129248,0,0.03191981,3.56983602,253.45835756,71,617578.4898238,18665423234.98588,3966105120.2965,0.29194963,0.50736993,124.84329073,185.97191498,0.67130185,0.01,0.99733271,3.96521022,59.35855637,70.8106225,0.0430664,1296.39236,0.055,1670.17817,637,71,30260.0,30277.38,30219.71,30226.46,1275.93186,0.51522975,1.06283286,120082426.5744,0.48477025,112983358.551
1681650000000,2023-04-16 13:00:00,80.89504244999999,0,0.03192394,1.50440018,58.67160692,39,617659.38486625,18678265557.13095,3977670237.794,0.16333409,0.28414527,164.23391706,198.2875901,0.8282612,0.01,3.01006532,4.24702602,85.66107656,117.39254765,7.6000751,228446.04099,0.058,1760.97157,1214,39,30249.99,30260.01,30160.4,30260.01,1329.34331,0.49707996,0.98838765,190870552.6729,0.50292004,193113049.68132
1681653600000,2023-04-16 14:00:00,213.8213592,0,0.03193494,0.4369494,14.41933031,33,617873.20622545,18724247837.478127,3986247508.9226,0.33851925,0.30087007,213.50603238,320.57773014,0.66600394,0.01,3.23504154,4.36278662,80.16337212,106.75637094,0.0,0.0,1.923,58448.66394,947,33,30311.83,30320.0,30245.01,30249.99,1142.12351,0.55670397,1.25582892,166058882.8254,0.44329603,132230497.1353
1681657200000,2023-04-16 15:00:00,-40.53249914999998,0,0.03193277,0.86442306,26.79711477,31,617832.6737263,18757663314.485508,3992934707.8722,0.14190621,0.29473794,115.06499177,156.23873599,0.73646904,0.01,6.3474592,4.28562335,164.67849545,196.77123514,0.041,1238.89864,6.079,185200.93638,1101,31,30332.98,30362.0,30300.0,30311.83,926.17659,0.51229018,1.05039956,143789312.36286,0.48770982,136890110.3683
1681660800000,2023-04-16 16:00:00,862.4060247300001,0,0.03197727,0.56400858,20.86831759,37,618695.07975103,18762463338.925632,3996214820.417,0.95608289,0.41535125,1010.64685615,1118.61698298,0.90347891,0.01,6.92462049,4.62894964,224.52328103,256.21095825,0.136,4102.3757,0.565,17191.40169,1170,37,30335.0,30335.0,30259.69,30332.98,1148.83322,0.47123674,0.89120552,116167355.3678,0.52876326,130348559.7366
1681664400000,2023-04-16 17:00:00,-157.61050523,0,0.03196905,5.98989071,191.67650268,32,618537.4692458,18745933285.11175,3999353290.3572,0.09540835,0.30045093,78.62218254,120.69156223,0.65143065,0.01,8.69693961,4.7873928,259.78937109,278.30206746,0.0,0.0,1.14952441,35041.79628,1265,32,30300.0,30379.62,30300.0,30335.0,1103.25031,0.50624797,1.02530811,100865511.1222,0.49375203,98375805.55
1681668000000,2023-04-16 18:00:00,105.94881307,0,0.0319745,1.20792025,37.44552786,31,618643.41805887,18747827462.29408,4029145183.9956,0.21913573,0.31519088,121.19053752,190.42895045,0.63640816,0.01,2.72516572,4.56237494,66.76013225,84.48013738,0.075,2268.36092,3.08642539,94216.10295,869,31,30478.43,30480.0,30298.87,30300.0,1285.55073,0.61946651,1.62788958,175406081.962,0.38053349,107750602.0616
1681671600000,2023-04-16 19:00:00,11.15195596000001,0,0.03197497,0.46597017,16.77492618,36,618654.57001483,18772123699.39119,3938320765.3237,0.12670914,0.29158509,128.23509862,191.20408907,0.67067132,0.01,5.00144814,5.13439143,146.6653933,180.05213311,3.02646441,91505.35728,107.08108787,3295581.20195,1509,36,30309.06,30549.99,30281.69,30478.43,3341.81382,0.49326086,0.97340192,487333778.34461,0.50673914,500650109.1749
1681675200000,2023-04-16 20:00:00,64.53954098000001,0,0.03197827,0.49336136,14.30747952,29,618719.10955581,18777561335.305298,3933967585.027301,0.2377976,0.30222274,115.27662165,180.25058225,0.63953536,0.01,3.99003591,5.27438723,97.37311772,115.71104127,7.28955142,219656.49555,9.265,282785.95996,758,29,30343.04,30407.98,30192.0,30309.05,2019.66236,0.49088893,0.96420794,320627225.89658,0.50911107,332529128.71015
1681678800000,2023-04-16 21:00:00,71.19097760999998,0,0.03198189,1.50221397,45.06641911,30,618790.30053342,18777194728.156696,3939169062.0148,0.26059593,0.29109084,210.15062789,275.71049234,0.76221484,0.01,6.81731716,5.78614089,172.78439997,204.51951473,1.379,41590.19239,5.783,176263.54855,1058,30,30385.62,30390.0,30267.31,30343.04,1088.79818,0.48493867,0.94151637,110250831.6772,0.51506133,117099218.5603
1681682400000,2023-04-16 22:00:00,-29.958638420000018,0,0.03198032,0.47782795,10.034387,21,618760.341895,18782227379.560364,3935034088.8588,0.23883603,0.30493795,61.97198698,104.84901525,0.59105931,0.01,6.41941208,5.79641987,131.86349985,134.80765367,2.903,87564.73588,0.756,23041.64663,439,21,30331.04,30404.82,30300.72,30385.61,932.60749,0.45466379,0.83373115,80521646.7742,0.54533621,96579870.9497
