start_time,datetime,flow_mean,flow_total,transactions_count_flow
1704067200000,2024-01-01 00:00:00,4.58308532,183.32341286,40
1704070800000,2024-01-01 01:00:00,2.93029864,231.49359274,79
1704074400000,2024-01-01 02:00:00,0.41595498,12.89460427,31
1704078000000,2024-01-01 03:00:00,1.16847372,29.21184306,25
1704081600000,2024-01-01 04:00:00,1.25998782,65.51936688,52
1704085200000,2024-01-01 05:00:00,1.77030241,44.25756013,25
1704088800000,2024-01-01 06:00:00,3.47917134,160.04188176,46
1704092400000,2024-01-01 07:00:00,1.77436048,60.32825642,34
1704096000000,2024-01-01 08:00:00,1.36602427,57.37301951,42
1704099600000,2024-01-01 09:00:00,0.96952054,31.02465722,32
1704103200000,2024-01-01 10:00:00,2.23141276,91.48792326,41
1704106800000,2024-01-01 11:00:00,6.26273174,194.14468394,31
1704110400000,2024-01-01 12:00:00,1.80978186,70.58149253,39
1704114000000,2024-01-01 13:00:00,5.11475181,179.0163133,35
1704117600000,2024-01-01 14:00:00,1.43931723,64.76927537,45
1704121200000,2024-01-01 15:00:00,0.98643999,29.59319961,30
1704124800000,2024-01-01 16:00:00,0.84810854,28.83569026,34
1704128400000,2024-01-01 17:00:00,2.31414161,94.87980619,41
1704132000000,2024-01-01 18:00:00,3.33583285,163.45580942,49
1704135600000,2024-01-01 19:00:00,3.18458024,111.46030852,35
1704139200000,2024-01-01 20:00:00,1.69254923,59.23922301,35
1704142800000,2024-01-01 21:00:00,0.27076036,3.24912428,12
1704146400000,2024-01-01 22:00:00,1.63565513,111.22454869,68
1704150000000,2024-01-01 23:00:00,8.81091472,326.00384471,37
1704153600000,2024-01-02 00:00:00,1.43779233,28.75584652,20
1704157200000,2024-01-02 01:00:00,7.48421626,486.47405658,65
1704160800000,2024-01-02 02:00:00,5.91785575,378.74276803,64
1704164400000,2024-01-02 03:00:00,11.01416171,341.43901302,31
1704168000000,2024-01-02 04:00:00,2.91119308,110.62533686,38
1704171600000,2024-01-02 05:00:00,3.14731978,129.04011106,41
1704175200000,2024-01-02 06:00:00,6.45861455,303.55488384,47
1704178800000,2024-01-02 07:00:00,2.57389802,95.23422686,37
1704182400000,2024-01-02 08:00:00,14.70980945,382.45504561,26
1704186000000,2024-01-02 09:00:00,151.14683633,5894.72661676,39
1704189600000,2024-01-02 10:00:00,15.59546772,514.65043462,33
1704193200000,2024-01-02 11:00:00,3.08107279,144.81042106,47
1704196800000,2024-01-02 12:00:00,5.04593419,272.48044637,54
1704200400000,2024-01-02 13:00:00,5.23736921,261.8684607,50
1704204000000,2024-01-02 14:00:00,6.59666904,178.11006412,27
1704207600000,2024-01-02 15:00:00,2.49079087,92.15926203,37
1704211200000,2024-01-02 16:00:00,4.7351287,203.6105342,43
1704214800000,2024-01-02 17:00:00,1.36418867,42.28984866,31
1704218400000,2024-01-02 18:00:00,4.8082625,221.18007486,46
1704222000000,2024-01-02 19:00:00,2.43828548,65.83370795,27
1704225600000,2024-01-02 20:00:00,1.34476461,64.54870148,48
1704229200000,2024-01-02 21:00:00,1.570208,50.24665596,32
1704232800000,2024-01-02 22:00:00,2.38388178,95.355271,40
1704236400000,2024-01-02 23:00:00,0.42606344,13.20796674,31
