start_time,datetime,outflow_mean,outflow_mean_ma7,outflow_top10,outflow_total
1704067200000,2024-01-01 00:00:00,7.61663852,8.32518946,278.63814299,304.6655407
1704070800000,2024-01-01 01:00:00,2.14182903,8.32733036,159.42451417,169.20449318
1704074400000,2024-01-01 02:00:00,4.43731415,8.37557346,127.71423459,137.55673852
1704078000000,2024-01-01 03:00:00,6.55814625,8.32329842,154.0179197,163.95365628
1704081600000,2024-01-01 04:00:00,5.95807621,8.10008607,285.81529093,309.81996297
1704085200000,2024-01-01 05:00:00,11.57341315,8.89456938,270.04935593,289.33532877
1704088800000,2024-01-01 06:00:00,8.28402309,6.6527772,357.93175305,381.06506219
1704092400000,2024-01-01 07:00:00,10.7786449,7.1044924,355.36782835,366.47392656
1704096000000,2024-01-01 08:00:00,7.23766372,7.83246878,287.66200587,303.98187629
1704099600000,2024-01-01 09:00:00,0.97394326,7.33770151,24.12599426,31.16618446
1704103200000,2024-01-01 10:00:00,5.45810408,7.18055263,206.78772824,223.78226716
1704106800000,2024-01-01 11:00:00,13.5622559,8.26686401,409.00449826,420.42993284
1704110400000,2024-01-01 12:00:00,8.08413036,7.76839504,296.71270436,315.28108408
1704114000000,2024-01-01 13:00:00,7.29446798,7.62703003,229.4638692,255.30637942
1704117600000,2024-01-01 14:00:00,5.37205728,6.85466037,217.10424791,241.74257747
1704121200000,2024-01-01 15:00:00,5.16097006,6.55798985,134.26905761,154.82910168
1704124800000,2024-01-01 16:00:00,8.9780612,7.70143527,263.19450241,305.25408085
1704128400000,2024-01-01 17:00:00,8.18200837,8.09056445,315.11627219,335.46234301
1704132000000,2024-01-01 18:00:00,16.30262454,8.48204568,715.91454331,798.82860233
1704135600000,2024-01-01 19:00:00,14.7247801,9.43070993,474.27104126,515.36730361
1704139200000,2024-01-01 20:00:00,11.47884299,10.02847779,355.65105309,401.75950454
1704142800000,2024-01-01 21:00:00,8.29003539,10.44533181,98.84439296,99.48042471
1704146400000,2024-01-01 22:00:00,8.02318733,10.85421999,361.17106495,545.57673813
1704150000000,2024-01-01 23:00:00,12.70134231,11.38611729,421.45239678,469.94966541
1704153600000,2024-01-02 00:00:00,15.23574885,12.3937945,297.92860577,304.71497695
1704157200000,2024-01-02 01:00:00,22.54889032,13.28611818,1147.46984566,1465.67787083
1704160800000,2024-01-02 02:00:00,11.44263232,12.81723993,692.98970237,732.32846816
1704164400000,2024-01-02 03:00:00,34.39154414,16.09048295,885.80159829,1066.13786831
1704168000000,2024-01-02 04:00:00,11.92739942,16.61010638,441.82651146,453.24117815
1704171600000,2024-01-02 05:00:00,19.87739467,18.30356458,699.93263139,814.97318143
1704175200000,2024-01-02 06:00:00,10.07786115,17.92878155,408.4537025,473.65947398
1704178800000,2024-01-02 07:00:00,13.84230804,17.72971858,433.39565886,512.16539762
1704182400000,2024-01-02 08:00:00,23.67858015,17.89110284,504.78471983,615.64308378
1704186000000,2024-01-02 09:00:00,22.09628495,19.41305322,692.99582802,861.75511317
1704189600000,2024-01-02 10:00:00,4.88799739,15.19826082,139.72608964,161.30391386
1704193200000,2024-01-02 11:00:00,16.00402705,15.7806362,590.00422334,752.18927137
1704196800000,2024-01-02 12:00:00,12.65954284,14.74951451,647.69925505,683.61531311
1704200400000,2024-01-02 13:00:00,18.10926682,15.89685818,719.37208105,905.46334123
1704204000000,2024-01-02 14:00:00,31.75612434,18.45597479,814.34494582,857.41535715
1704207600000,2024-01-02 15:00:00,21.60300115,18.15946351,714.45278174,799.3110426
1704211200000,2024-01-02 16:00:00,7.15705453,16.02528773,275.97781048,307.75334498
1704214800000,2024-01-02 17:00:00,24.92954148,18.88836546,741.33328951,772.81578595
1704218400000,2024-01-02 18:00:00,13.4069253,18.51735092,565.16776832,616.7185638
1704222000000,2024-01-02 19:00:00,26.07184741,20.43339443,692.04405593,703.93987997
1704225600000,2024-01-02 20:00:00,9.66816271,19.22752242,393.00526255,464.07180989
1704229200000,2024-01-02 21:00:00,12.03424395,16.41011093,357.81511342,385.09580653
1704232800000,2024-01-02 22:00:00,7.63550844,14.41475483,259.82529087,305.4203374
1704236400000,2024-01-02 23:00:00,8.3594021,14.58651877,230.82009475,259.1414651
1704240000000,2024-01-03 00:00:00,10.39385823,12.50999259,477.04808381,519.69291155
1704243600000,2024-01-03 01:00:00,15.78702849,12.85000733,296.28659961,299.95354139
1704247200000,2024-01-03 02:00:00,7.87647152,10.25066792,372.16122677,409.5765193
1704250800000,2024-01-03 03:00:00,8.90637355,10.1418409,485.41175226,516.56966571
1704254400000,2024-01-03 04:00:00,5.71144704,9.2385842,179.07248093,194.18919926
1704258000000,2024-01-03 05:00:00,6.34805465,9.05466223,234.56913467,253.92218585
1704261600000,2024-01-03 06:00:00,12.45133823,9.63922453,500.4536516,547.85888222
1704265200000,2024-01-03 07:00:00,8.07614779,9.30812304,180.40079682,201.90369467
1704268800000,2024-01-03 08:00:00,20.26931227,9.94844929,645.76846449,790.50317845
1704272400000,2024-01-03 09:00:00,7.21257754,9.8536073,191.24179981,216.37732635
1704276000000,2024-01-03 10:00:00,4.06598652,9.16212343,117.65383724,142.30952822
1704279600000,2024-01-03 11:00:00,22.0742638,11.49966869,666.83284021,794.67349675
1704283200000,2024-01-03 12:00:00,35.09555425,15.60645434,1140.20543199,1474.01327863
1704286800000,2024-01-03 13:00:00,42.88562078,19.95420899,1070.28520633,1329.45424412
1704290400000,2024-01-03 14:00:00,13.07332079,20.66809085,561.52346767,692.88600163
1704294000000,2024-01-03 15:00:00,19.4546713,20.55171357,549.59251536,622.54948157
1704297600000,2024-01-03 16:00:00,9.49569659,20.87787343,392.98837375,512.76761598
1704301200000,2024-01-03 17:00:00,13.36776205,22.20669851,351.19268913,401.03286146
1704304800000,2024-01-03 18:00:00,10.60101793,20.56766338,299.7388588,349.83359183
1704308400000,2024-01-03 19:00:00,8.65525446,16.7904777,329.41339608,354.86543303
1704312000000,2024-01-03 20:00:00,8.9524342,11.94287962,165.02589712,170.09624974
1704315600000,2024-01-03 21:00:00,4.54886358,10.72510002,243.9604821,322.96931412
1704319200000,2024-01-03 22:00:00,8.7070209,9.18972139,397.30423412,417.93700325
1704322800000,2024-01-03 23:00:00,5.98658753,8.68842009,205.01611568,221.50373843
1704326400000,2024-01-04 00:00:00,5.4928992,7.56343969,330.24777888,340.55975022
1704330000000,2024-01-04 01:00:00,8.69826972,7.29161851,292.31606636,321.83597954
1704333600000,2024-01-04 02:00:00,2.61652714,6.42894318,240.61430167,269.50229582
1704337200000,2024-01-04 03:00:00,13.48814926,7.07690248,553.48227793,579.99041813
1704340800000,2024-01-04 04:00:00,14.43979211,8.48989227,586.53222618,606.47126844
