start_time,datetime,reserve,reserve_usd
1704067200000,2024-01-01 00:00:00,581824.98056189,24730912078.866127
1704070800000,2024-01-01 01:00:00,581913.71841955,24817999246.13187
1704074400000,2024-01-01 02:00:00,581801.59982664,24765739893.05064
1704078000000,2024-01-01 03:00:00,582191.6886041,24681148214.211117
1704081600000,2024-01-01 04:00:00,582086.95626763,24655292520.5956
1704085200000,2024-01-01 05:00:00,581813.27230571,24616506304.506733
1704088800000,2024-01-01 06:00:00,581657.86506321,24665321454.383236
1704092400000,2024-01-01 07:00:00,581405.53770295,24691973966.45243
1704096000000,2024-01-01 08:00:00,581578.53502563,24744018750.95694
1704099600000,2024-01-01 09:00:00,581575.33966432,24822223807.69856
1704103200000,2024-01-01 10:00:00,581489.50327832,24824894451.92018
1704106800000,2024-01-01 11:00:00,581100.84110506,24803052411.210037
1704110400000,2024-01-01 12:00:00,581169.39962328,24825486185.008102
1704114000000,2024-01-01 13:00:00,580939.04523276,24815321389.621822
1704117600000,2024-01-01 14:00:00,581232.15464298,24779149153.771297
1704121200000,2024-01-01 15:00:00,581103.09031312,24877291915.06088
1704124800000,2024-01-01 16:00:00,580966.57097632,24851855594.478203
1704128400000,2024-01-01 17:00:00,580692.22671403,24867666066.742867
1704132000000,2024-01-01 18:00:00,580348.98250501,25050849415.454346
1704135600000,2024-01-01 19:00:00,579861.78705902,25253091702.82478
1704139200000,2024-01-01 20:00:00,579953.32036861,25342276469.445934
1704142800000,2024-01-01 21:00:00,579957.49189656,25383595698.87273
1704146400000,2024-01-01 22:00:00,579952.37387701,25232608237.58877
1704150000000,2024-01-01 23:00:00,579495.50394952,25561222097.841736
1704153600000,2024-01-02 00:00:00,579200.71602422,25867187137.83826
1704157200000,2024-01-02 01:00:00,578187.66114831,25902239172.691692
1704160800000,2024-01-02 02:00:00,578221.64775411,26194387019.869457
1704164400000,2024-01-02 03:00:00,577207.61630791,26246389544.880585
1704168000000,2024-01-02 04:00:00,576887.00126026,26156230108.567142
1704171600000,2024-01-02 05:00:00,576962.62019932,26113748809.731907
1704175200000,2024-01-02 06:00:00,577090.60149723,26132025632.917377
1704178800000,2024-01-02 07:00:00,576608.25916186,26249386697.740704
1704182400000,2024-01-02 08:00:00,576092.79762759,26303923691.46919
1704186000000,2024-01-02 09:00:00,575587.60886754,26332067275.20114
1704189600000,2024-01-02 10:00:00,575898.4306847,26285757562.428772
1704193200000,2024-01-02 11:00:00,578122.04643715,26274275003.633057
1704196800000,2024-01-02 12:00:00,583129.17758019,26425916154.579594
1704200400000,2024-01-02 13:00:00,582313.09492817,26606851281.276222
1704204000000,2024-01-02 14:00:00,582295.8069728,26331071750.12676
1704207600000,2024-01-02 15:00:00,581548.77995375,26279775837.11829
1704211200000,2024-01-02 16:00:00,583467.862655,26458364389.072815
1704214800000,2024-01-02 17:00:00,582922.85735327,26238327752.866154
1704218400000,2024-01-02 18:00:00,582603.87712429,26331967397.90264
1704222000000,2024-01-02 19:00:00,582687.24295466,26227359229.46919
1704225600000,2024-01-02 20:00:00,582609.77144604,26120210627.26625
1704229200000,2024-01-02 21:00:00,582666.43511486,26253993146.13666
1704232800000,2024-01-02 22:00:00,582512.81846102,26233372534.753326
1704236400000,2024-01-02 23:00:00,582609.86602215,26151489704.974575
1704240000000,2024-01-03 00:00:00,582382.98324556,26282116187.06081
1704243600000,2024-01-03 01:00:00,582185.17708094,26315188041.595104
1704247200000,2024-01-03 02:00:00,581825.99493671,26349445525.354725
1704250800000,2024-01-03 03:00:00,581763.84110571,26329001312.081932
1704254400000,2024-01-03 04:00:00,585835.97976458,26471615303.215015
1704258000000,2024-01-03 05:00:00,586017.49165203,26513365786.277805
1704261600000,2024-01-03 06:00:00,585686.7333679,26567583449.577892
1704265200000,2024-01-03 07:00:00,585740.25312248,26407926889.431774
1704268800000,2024-01-03 08:00:00,585108.77720629,26428815733.496086
1704272400000,2024-01-03 09:00:00,585015.98743991,26570981115.31047
1704276000000,2024-01-03 10:00:00,585858.53894545,26423508505.51804
1704279600000,2024-01-03 11:00:00,585654.27138123,25849080516.545944
1704283200000,2024-01-03 12:00:00,584772.33592898,24855038972.916664
1704286800000,2024-01-03 13:00:00,584125.87017595,24793064054.1719
1704290400000,2024-01-03 14:00:00,584555.3574185,24671631666.20764
1704294000000,2024-01-03 15:00:00,584159.15088999,25037196950.450035
1704297600000,2024-01-03 16:00:00,585957.68186986,25244925368.000504
1704301200000,2024-01-03 17:00:00,585715.6512173,25006780990.71874
1704304800000,2024-01-03 18:00:00,585702.34820251,24972897460.99726
1704308400000,2024-01-03 19:00:00,585640.72163758,25157644411.49015
1704312000000,2024-01-03 20:00:00,585516.71408423,24957542538.50605
1704315600000,2024-01-03 21:00:00,586137.29985511,25188867508.831898
1704319200000,2024-01-03 22:00:00,586538.55816094,25067933793.720818
1704322800000,2024-01-03 23:00:00,586742.09468832,25141017747.945255
1704326400000,2024-01-04 00:00:00,586776.02376019,25143330911.313324
1704330000000,2024-01-04 01:00:00,586702.81225952,25074418728.75995
1704333600000,2024-01-04 02:00:00,586461.19938077,25265068133.78213
1704337200000,2024-01-04 03:00:00,586852.54021766,25256586713.879925
1704340800000,2024-01-04 04:00:00,586766.22708708,25347300281.194767
1704344400000,2024-01-04 05:00:00,586842.64531026,25372961977.51358
1704348000000,2024-01-04 06:00:00,586756.6164994,25365871617.05374
1704351600000,2024-01-04 07:00:00,586883.532348,25129087556.61762
1704355200000,2024-01-04 08:00:00,587798.81373885,25163442712.228348
1704358800000,2024-01-04 09:00:00,587534.32735671,25298700193.1854
1704362400000,2024-01-04 10:00:00,587562.7049983,25336281438.231705
1704366000000,2024-01-04 11:00:00,588042.66965857,25398033876.765396
1704369600000,2024-01-04 12:00:00,587973.061928,25517480255.923996
1704373200000,2024-01-04 13:00:00,587883.41141675,25526689907.89365
1704376800000,2024-01-04 14:00:00,587683.75523976,25646829223.129063
1704380400000,2024-01-04 15:00:00,586952.74681784,25899263627.59672
1704384000000,2024-01-04 16:00:00,587426.74474239,25819653290.193527
1704387600000,2024-01-04 17:00:00,587347.13427781,25834701641.81231
1704391200000,2024-01-04 18:00:00,586739.96673601,25879708846.36366
1704394800000,2024-01-04 19:00:00,586817.61831554,25834055325.697956
1704398400000,2024-01-04 20:00:00,587219.09820158,25966078157.914337
1704402000000,2024-01-04 21:00:00,587181.3124934,26036095551.91164
1704405600000,2024-01-04 22:00:00,586435.7238735,26076448014.430527
1704409200000,2024-01-04 23:00:00,586464.92918301,25899780392.58967
1704412800000,2024-01-05 00:00:00,586184.50010743,25938596441.52892
1704416400000,2024-01-05 01:00:00,586427.71420447,25440069991.892822
1704420000000,2024-01-05 02:00:00,586032.45186304,25539024570.61138
1704423600000,2024-01-05 03:00:00,585461.87953323,25459494664.892395
1704427200000,2024-01-05 04:00:00,585809.01442988,25538416775.943054
1704430800000,2024-01-05 05:00:00,586030.90072873,25599060210.00524
1704434400000,2024-01-05 06:00:00,585683.13221332,25612216087.35029
1704438000000,2024-01-05 07:00:00,586138.85047112,25683989146.632694
1704441600000,2024-01-05 08:00:00,586517.17663273,25739158916.67303
1704445200000,2024-01-05 09:00:00,586547.28632306,25888253418.242203
1704448800000,2024-01-05 10:00:00,585728.31766492,25720676588.39037
1704452400000,2024-01-05 11:00:00,584881.35791437,25598366420.433277
1704456000000,2024-01-05 12:00:00,585384.9208817,25697260606.355034
1704459600000,2024-01-05 13:00:00,585287.84346821,25675689386.53674
1704463200000,2024-01-05 14:00:00,586095.82469629,25514229263.100674
1704466800000,2024-01-05 15:00:00,586050.42522117,25543919868.767056
1704470400000,2024-01-05 16:00:00,586374.00256932,25395090360.12463
1704474000000,2024-01-05 17:00:00,586391.93482305,25450920894.246635
