start_time,datetime,transactions_count_inflow,transactions_count_outflow
1704067200000,2024-01-01 00:00:00,303,40
1704070800000,2024-01-01 01:00:00,580,79
1704074400000,2024-01-01 02:00:00,298,31
1704078000000,2024-01-01 03:00:00,206,25
1704081600000,2024-01-01 04:00:00,283,52
1704085200000,2024-01-01 05:00:00,121,25
1704088800000,2024-01-01 06:00:00,268,46
1704092400000,2024-01-01 07:00:00,356,34
1704096000000,2024-01-01 08:00:00,488,42
1704099600000,2024-01-01 09:00:00,465,32
1704103200000,2024-01-01 10:00:00,491,41
1704106800000,2024-01-01 11:00:00,516,31
1704110400000,2024-01-01 12:00:00,536,39
1704114000000,2024-01-01 13:00:00,494,35
1704117600000,2024-01-01 14:00:00,606,45
1704121200000,2024-01-01 15:00:00,478,30
1704124800000,2024-01-01 16:00:00,422,34
1704128400000,2024-01-01 17:00:00,514,41
1704132000000,2024-01-01 18:00:00,645,49
1704135600000,2024-01-01 19:00:00,480,35
1704139200000,2024-01-01 20:00:00,575,35
1704142800000,2024-01-01 21:00:00,179,12
1704146400000,2024-01-01 22:00:00,814,68
1704150000000,2024-01-01 23:00:00,342,37
1704153600000,2024-01-02 00:00:00,186,20
1704157200000,2024-01-02 01:00:00,790,65
1704160800000,2024-01-02 02:00:00,317,64
1704164400000,2024-01-02 03:00:00,258,31
1704168000000,2024-01-02 04:00:00,450,38
1704171600000,2024-01-02 05:00:00,523,41
1704175200000,2024-01-02 06:00:00,412,47
1704178800000,2024-01-02 07:00:00,362,37
1704182400000,2024-01-02 08:00:00,580,26
1704186000000,2024-01-02 09:00:00,703,39
1704189600000,2024-01-02 10:00:00,654,33
1704193200000,2024-01-02 11:00:00,809,47
1704196800000,2024-01-02 12:00:00,1049,54
1704200400000,2024-01-02 13:00:00,862,50
1704204000000,2024-01-02 14:00:00,514,27
1704207600000,2024-01-02 15:00:00,574,37
1704211200000,2024-01-02 16:00:00,1149,43
1704214800000,2024-01-02 17:00:00,633,31
1704218400000,2024-01-02 18:00:00,649,46
1704222000000,2024-01-02 19:00:00,682,27
1704225600000,2024-01-02 20:00:00,893,48
1704229200000,2024-01-02 21:00:00,517,32
1704232800000,2024-01-02 22:00:00,516,40
1704236400000,2024-01-02 23:00:00,556,31
1704240000000,2024-01-03 00:00:00,558,50
1704243600000,2024-01-03 01:00:00,230,19
1704247200000,2024-01-03 02:00:00,340,52
1704250800000,2024-01-03 03:00:00,456,58
1704254400000,2024-01-03 04:00:00,291,34
1704258000000,2024-01-03 05:00:00,367,40
1704261600000,2024-01-03 06:00:00,519,44
1704265200000,2024-01-03 07:00:00,422,25
1704268800000,2024-01-03 08:00:00,427,39
1704272400000,2024-01-03 09:00:00,563,30
1704276000000,2024-01-03 10:00:00,795,35
1704279600000,2024-01-03 11:00:00,810,36
1704283200000,2024-01-03 12:00:00,825,42
1704286800000,2024-01-03 13:00:00,646,31
1704290400000,2024-01-03 14:00:00,843,53
1704294000000,2024-01-03 15:00:00,954,32
1704297600000,2024-01-03 16:00:00,816,54
1704301200000,2024-01-03 17:00:00,518,30
1704304800000,2024-01-03 18:00:00,669,33
1704308400000,2024-01-03 19:00:00,672,41
1704312000000,2024-01-03 20:00:00,326,19
1704315600000,2024-01-03 21:00:00,1070,71
1704319200000,2024-01-03 22:00:00,603,48
1704322800000,2024-01-03 23:00:00,637,37
1704326400000,2024-01-04 00:00:00,361,62
1704330000000,2024-01-04 01:00:00,443,37
1704333600000,2024-01-04 02:00:00,619,103
1704337200000,2024-01-04 03:00:00,427,43
1704340800000,2024-01-04 04:00:00,338,42
1704344400000,2024-01-04 05:00:00,314,31
1704348000000,2024-01-04 06:00:00,379,46
1704351600000,2024-01-04 07:00:00,578,38
1704355200000,2024-01-04 08:00:00,587,40
1704358800000,2024-01-04 09:00:00,737,37
