start_time,datetime,exchange_supply_ratio
1704067200000,2024-01-01 00:00:00,0.02970593
1704070800000,2024-01-01 01:00:00,0.02971035
1704074400000,2024-01-01 02:00:00,0.02970456
1704078000000,2024-01-01 03:00:00,0.02972442
1704081600000,2024-01-01 04:00:00,0.029719
1704085200000,2024-01-01 05:00:00,0.02970498
1704088800000,2024-01-01 06:00:00,0.02969698
1704092400000,2024-01-01 07:00:00,0.02968403
1704096000000,2024-01-01 08:00:00,0.0296928
1704099600000,2024-01-01 09:00:00,0.0296926
1704103200000,2024-01-01 10:00:00,0.02968817
1704106800000,2024-01-01 11:00:00,0.02966828
1704110400000,2024-01-01 12:00:00,0.02967173
1704114000000,2024-01-01 13:00:00,0.0296599
1704117600000,2024-01-01 14:00:00,0.02967476
1704121200000,2024-01-01 15:00:00,0.02966812
1704124800000,2024-01-01 16:00:00,0.02966112
1704128400000,2024-01-01 17:00:00,0.02964708
1704132000000,2024-01-01 18:00:00,0.02962946
1704135600000,2024-01-01 19:00:00,0.02960454
1704139200000,2024-01-01 20:00:00,0.02960915
1704142800000,2024-01-01 21:00:00,0.02960934
1704146400000,2024-01-01 22:00:00,0.02960897
1704150000000,2024-01-01 23:00:00,0.02958557
1704153600000,2024-01-02 00:00:00,0.02957051
1704157200000,2024-01-02 01:00:00,0.02951868
1704160800000,2024-01-02 02:00:00,0.02952037
1704164400000,2024-01-02 03:00:00,0.02946857
1704168000000,2024-01-02 04:00:00,0.02945213
1704171600000,2024-01-02 05:00:00,0.02945593
1704175200000,2024-01-02 06:00:00,0.02946241
1704178800000,2024-01-02 07:00:00,0.02943777
1704182400000,2024-01-02 08:00:00,0.02941141
1704186000000,2024-01-02 09:00:00,0.02938557
1704189600000,2024-01-02 10:00:00,0.0294014
1704193200000,2024-01-02 11:00:00,0.02951487
1704196800000,2024-01-02 12:00:00,0.02977041
1704200400000,2024-01-02 13:00:00,0.02972868
1704204000000,2024-01-02 14:00:00,0.02972776
1704207600000,2024-01-02 15:00:00,0.0296896
1704211200000,2024-01-02 16:00:00,0.02978749
1704214800000,2024-01-02 17:00:00,0.02975961
1704218400000,2024-01-02 18:00:00,0.02974329
1704222000000,2024-01-02 19:00:00,0.02974748
1704225600000,2024-01-02 20:00:00,0.02974346
1704229200000,2024-01-02 21:00:00,0.02974631
1704232800000,2024-01-02 22:00:00,0.02973843
1704236400000,2024-01-02 23:00:00,0.02974332
1704240000000,2024-01-03 00:00:00,0.02973166
1704243600000,2024-01-03 01:00:00,0.02972154
1704247200000,2024-01-03 02:00:00,0.02970314
1704250800000,2024-01-03 03:00:00,0.0296999
1704254400000,2024-01-03 04:00:00,0.02990775
1704258000000,2024-01-03 05:00:00,0.02991692
1704261600000,2024-01-03 06:00:00,0.02989994
1704265200000,2024-01-03 07:00:00,0.02990262
1704268800000,2024-01-03 08:00:00,0.02987034
1704272400000,2024-01-03 09:00:00,0.02986557
1704276000000,2024-01-03 10:00:00,0.02990851
1704279600000,2024-01-03 11:00:00,0.02989797
1704283200000,2024-01-03 12:00:00,0.02985287
1704286800000,2024-01-03 13:00:00,0.02981981
1704290400000,2024-01-03 14:00:00,0.02984168
1704294000000,2024-01-03 15:00:00,0.02982136
1704297600000,2024-01-03 16:00:00,0.0299131
1704301200000,2024-01-03 17:00:00,0.02990072
1704304800000,2024-01-03 18:00:00,0.0299
1704308400000,2024-01-03 19:00:00,0.0298968
1704312000000,2024-01-03 20:00:00,0.02989045
1704315600000,2024-01-03 21:00:00,0.02992206
1704319200000,2024-01-03 22:00:00,0.02994249
1704322800000,2024-01-03 23:00:00,0.02995277
1704326400000,2024-01-04 00:00:00,0.02995446
1704330000000,2024-01-04 01:00:00,0.02995067
1704333600000,2024-01-04 02:00:00,0.02993825
1704337200000,2024-01-04 03:00:00,0.02995813
1704340800000,2024-01-04 04:00:00,0.02995367
