start_time,datetime,long_liquidations,long_liquidations_usd,short_liquidations,short_liquidations_usd
1704067200000,2024-01-01 00:00:00,0.461,19507.00627,10.01967321,427431.4129
1704070800000,2024-01-01 01:00:00,0.455,19361.18115,19.19137298,820793.89171
1704074400000,2024-01-01 02:00:00,2.232,94774.03311,1.512,64681.52556
1704078000000,2024-01-01 03:00:00,9.78472877,412936.02505,0.071,3003.28356
1704081600000,2024-01-01 04:00:00,6.43260874,271075.47366,1.382,58709.82158
1704085200000,2024-01-01 05:00:00,1.05823779,44574.36604,0.792,33660.12114
1704088800000,2024-01-01 06:00:00,0.379,16008.64922,0.095,4046.62716
1704092400000,2024-01-01 07:00:00,0.407,17217.17922,2.524,107684.30272
1704096000000,2024-01-01 08:00:00,0.0,0.0,0.85570276,36565.24411
1704099600000,2024-01-01 09:00:00,0.016,681.0059,2.259,96776.38142
1704103200000,2024-01-01 10:00:00,0.008,341.81984,31.27467468,1345834.4711
1704106800000,2024-01-01 11:00:00,0.0,0.0,0.284,12200.47593
1704110400000,2024-01-01 12:00:00,0.129,5483.14981,0.995,42712.27815
1704114000000,2024-01-01 13:00:00,0.008,342.65473,0.04,1716.41224
1704117600000,2024-01-01 14:00:00,0.11423554,4855.04716,0.395,16928.74425
1704121200000,2024-01-01 15:00:00,0.022,935.03872,18.64544618,803106.45522
1704124800000,2024-01-01 16:00:00,2.846,121271.12101,0.66423224,28556.33524
1704128400000,2024-01-01 17:00:00,0.028,1192.76718,0.05,2151.19056
1704132000000,2024-01-01 18:00:00,0.025,1072.53709,20.70399081,894888.73498
1704135600000,2024-01-01 19:00:00,0.028,1203.41592,42.64105256,1862297.56802
1704139200000,2024-01-01 20:00:00,0.154,6703.79702,258.40879704,11384001.70417
1704142800000,2024-01-01 21:00:00,6.10007887,264839.32022,3.852,169291.35522
1704146400000,2024-01-01 22:00:00,4.81217002,208536.60006,0.655,28719.65377
