start_time,datetime,taker_buy_ratio,taker_buy_sell_ratio,taker_buy_volume,taker_sell_ratio,taker_sell_volume
1704067200000,2024-01-01 00:00:00,0.55469273,1.24564042,198088357.69765,0.44530727,159025313.14621
1704070800000,2024-01-01 01:00:00,0.52899933,1.12313925,204128245.39118,0.47100067,181747940.20698
1704074400000,2024-01-01 02:00:00,0.45871364,0.84745096,90630571.6646,0.54128636,106944915.75819
1704078000000,2024-01-01 03:00:00,0.43008989,0.75466267,147568695.6053,0.56991011,195542593.4903
1704081600000,2024-01-01 04:00:00,0.4991332,0.9965388,132086407.2938,0.5008668,132545172.6406
1704085200000,2024-01-01 05:00:00,0.41127713,0.69859207,71147174.0287,0.58872287,101843660.4488
1704088800000,2024-01-01 06:00:00,0.6015309,1.50960487,97070936.37616,0.3984691,64302214.5334
1704092400000,2024-01-01 07:00:00,0.46752845,0.8780346,88345604.2115,0.53247155,100617452.1183
1704096000000,2024-01-01 08:00:00,0.49153843,0.96671696,75953461.86969,0.50846157,78568458.7341
1704099600000,2024-01-01 09:00:00,0.49210864,0.968925,119426241.75402,0.50789136,123256435.7394
1704103200000,2024-01-01 10:00:00,0.50150186,1.00602555,123277213.6745,0.49849814,122538849.1779
1704106800000,2024-01-01 11:00:00,0.46463191,0.86787373,114714609.83299,0.53536809,132178916.59428
1704110400000,2024-01-01 12:00:00,0.51493835,1.06159361,137430097.87313,0.48506165,129456410.52198
1704114000000,2024-01-01 13:00:00,0.54460649,1.19590304,73813297.3727,0.45539351,61721807.8349
1704117600000,2024-01-01 14:00:00,0.44113955,0.78935546,97722454.5516,0.55886045,123800314.6106
1704121200000,2024-01-01 15:00:00,0.53641074,1.15708192,185809675.03189,0.46358926,160584719.2526
1704124800000,2024-01-01 16:00:00,0.48863538,0.95555179,146544715.5782,0.51136462,153361353.4606
1704128400000,2024-01-01 17:00:00,0.48972756,0.95973742,70648012.7228,0.51027244,73611814.5421
1704132000000,2024-01-01 18:00:00,0.54307977,1.18856582,437599594.0568,0.45692023,368174473.71302
1704135600000,2024-01-01 19:00:00,0.55093659,1.226857,397514846.03325,0.44906341,324010741.6068
1704139200000,2024-01-01 20:00:00,0.561509,1.28054853,573008340.23744,0.438491,447471006.58741
1704142800000,2024-01-01 21:00:00,0.4489748,0.81479903,203969153.9032,0.5510252,250330628.95979
1704146400000,2024-01-01 22:00:00,0.50128156,1.00513943,143714660.0644,0.49871844,142979825.38354
1704150000000,2024-01-01 23:00:00,0.57822499,1.3709323,644392056.25681,0.42177501,470039298.8782
1704153600000,2024-01-02 00:00:00,0.54012337,1.17449624,1415916337.97787,0.45987663,1205552036.01826
1704157200000,2024-01-02 01:00:00,0.48437321,0.93938722,724264191.31814,0.51562679,770996430.11179
1704160800000,2024-01-02 02:00:00,0.51411473,1.05809904,426878133.48838,0.48588527,403438732.44969
1704164400000,2024-01-02 03:00:00,0.46413136,0.866129,389850349.72129,0.53586864,450106567.20214
1704168000000,2024-01-02 04:00:00,0.44940686,0.81622312,227939023.4267,0.55059314,279260679.63093
1704171600000,2024-01-02 05:00:00,0.47678906,0.91127503,169352930.13003,0.52321094,185841732.16172
1704175200000,2024-01-02 06:00:00,0.4523461,0.82597075,116385038.34763,0.5476539,140906972.472
1704178800000,2024-01-02 07:00:00,0.50735978,1.02987894,494987626.42062,0.49264022,480627001.57444
1704182400000,2024-01-02 08:00:00,0.5177871,1.0737728,639007743.87127,0.4822129,595105169.47569
1704186000000,2024-01-02 09:00:00,0.50149727,1.00600706,324953124.30381,0.49850273,323012767.22098
1704189600000,2024-01-02 10:00:00,0.44264588,0.79419147,278653350.0299,0.55735412,350864195.14902
1704193200000,2024-01-02 11:00:00,0.48393323,0.93773375,394894776.097,0.51606677,421116096.66414
1704196800000,2024-01-02 12:00:00,0.4892643,0.95795984,345394336.84683,0.5107357,360551999.33711
1704200400000,2024-01-02 13:00:00,0.50099534,1.00398932,342154173.5994,0.49900466,340794635.09121
1704204000000,2024-01-02 14:00:00,0.46477095,0.86835897,756586583.18158,0.53522905,871283197.20191
1704207600000,2024-01-02 15:00:00,0.48734598,0.9506333,716082476.05231,0.51265402,753268873.42433
1704211200000,2024-01-02 16:00:00,0.50387438,1.01561856,467621942.63382,0.49612562,460430678.91647
1704214800000,2024-01-02 17:00:00,0.46835528,0.88095539,258821051.9158,0.53164472,293795864.57674
1704218400000,2024-01-02 18:00:00,0.54267317,1.18662002,265919328.51668,0.45732683,224098131.289
1704222000000,2024-01-02 19:00:00,0.46365579,0.86447431,327330984.10143,0.53634421,378647437.7053
