start_time,datetime,flow_mean,flow_total,transactions_count_flow
1704067200000,2024-01-01 00:00:00,0.02986952,0.17921713,6
1704070800000,2024-01-01 01:00:00,0.00267839,0.01607036,6
1704074400000,2024-01-01 02:00:00,1.42911409,10.00379861,7
1704078000000,2024-01-01 03:00:00,0.02899176,0.23193404,8
1704081600000,2024-01-01 04:00:00,0.01417226,0.05668903,4
1704085200000,2024-01-01 05:00:00,0.03984344,0.23906064,6
1704088800000,2024-01-01 06:00:00,0.29878131,2.39025049,8
1704092400000,2024-01-01 07:00:00,0.20725916,1.24355499,6
1704096000000,2024-01-01 08:00:00,0.02327548,0.30258122,13
1704099600000,2024-01-01 09:00:00,0.04585581,1.97179964,43
1704103200000,2024-01-01 10:00:00,0.09300796,0.55804775,6
1704106800000,2024-01-01 11:00:00,0.01106718,0.30988105,28
1704110400000,2024-01-01 12:00:00,0.0130725,0.66669772,51
1704114000000,2024-01-01 13:00:00,0.0230991,0.73917114,32
1704117600000,2024-01-01 14:00:00,0.02700472,1.91733547,71
1704121200000,2024-01-01 15:00:00,0.03779271,0.22675628,6
1704124800000,2024-01-01 16:00:00,0.0111167,0.03335011,3
1704128400000,2024-01-01 17:00:00,0.36573733,2.92589863,8
1704132000000,2024-01-01 18:00:00,0.03047082,0.36564979,12
1704135600000,2024-01-01 19:00:00,0.00907459,0.03629838,4
1704139200000,2024-01-01 20:00:00,0.33771141,5.0656711,15
1704142800000,2024-01-01 21:00:00,4.999e-05,9.998e-05,2
1704146400000,2024-01-01 22:00:00,0.00619551,0.34075287,55
1704150000000,2024-01-01 23:00:00,0.01734261,0.20811129,12
1704153600000,2024-01-02 00:00:00,0.0063,0.0063,1
1704157200000,2024-01-02 01:00:00,0.00806243,0.93524183,116
1704160800000,2024-01-02 02:00:00,0.00410982,0.28768707,70
1704164400000,2024-01-02 03:00:00,0.84664879,8.46648791,10
1704168000000,2024-01-02 04:00:00,0.02242985,1.16635234,52
1704171600000,2024-01-02 05:00:00,0.05364836,1.5558024,29
1704175200000,2024-01-02 06:00:00,0.00346692,0.10054065,29
1704178800000,2024-01-02 07:00:00,0.02726733,0.08180199,3
1704182400000,2024-01-02 08:00:00,0.00903653,0.2349498,26
1704186000000,2024-01-02 09:00:00,0.03822681,0.30581452,8
1704189600000,2024-01-02 10:00:00,0.00407641,0.27311963,67
1704193200000,2024-01-02 11:00:00,0.01786922,1.51888384,85
1704196800000,2024-01-02 12:00:00,0.01344962,2.8378701,211
1704200400000,2024-01-02 13:00:00,0.01964136,3.71221693,189
1704204000000,2024-01-02 14:00:00,0.01777499,0.10664997,6
1704207600000,2024-01-02 15:00:00,0.00947133,0.056828,6
1704211200000,2024-01-02 16:00:00,0.00069306,0.13306698,192
1704214800000,2024-01-02 17:00:00,0.05667455,0.2266982,4
1704218400000,2024-01-02 18:00:00,0.00351422,0.01405687,4
1704222000000,2024-01-02 19:00:00,0.02886322,0.34635859,12
1704225600000,2024-01-02 20:00:00,0.01187636,0.0950109,8
1704229200000,2024-01-02 21:00:00,0.00021999,0.00285989,13
1704232800000,2024-01-02 22:00:00,0.00486195,0.23337375,48
1704236400000,2024-01-02 23:00:00,0.008794,0.09673399,11
1704240000000,2024-01-03 00:00:00,0.00091751,0.142214,155
1704243600000,2024-01-03 01:00:00,0.00023784,0.02425995,102
1704247200000,2024-01-03 02:00:00,0.10105766,10.105766,100
1704250800000,2024-01-03 03:00:00,0.00382301,0.43964602,115
1704254400000,2024-01-03 04:00:00,0.01669036,0.5174012,31
1704258000000,2024-01-03 05:00:00,0.00810219,0.77781013,96
1704261600000,2024-01-03 06:00:00,0.20667631,2.48011576,12
1704265200000,2024-01-03 07:00:00,0.00737714,0.08114859,11
1704268800000,2024-01-03 08:00:00,0.00119948,0.03598431,30
1704272400000,2024-01-03 09:00:00,0.00697848,0.24424684,35
1704276000000,2024-01-03 10:00:00,0.01198757,0.37161463,31
1704279600000,2024-01-03 11:00:00,0.01374474,0.89340839,65
1704283200000,2024-01-03 12:00:00,0.02607429,0.93867448,36
1704286800000,2024-01-03 13:00:00,0.0401499,0.84314789,21
1704290400000,2024-01-03 14:00:00,0.01810322,0.41637395,23
1704294000000,2024-01-03 15:00:00,0.04295616,1.1598163,27
1704297600000,2024-01-03 16:00:00,0.01087856,0.45689962,42
1704301200000,2024-01-03 17:00:00,0.00025124,0.0092959,37
1704304800000,2024-01-03 18:00:00,0.02220364,0.55509112,25
1704308400000,2024-01-03 19:00:00,0.07938672,0.55570707,7
1704312000000,2024-01-03 20:00:00,0.00302213,0.02719916,9
1704315600000,2024-01-03 21:00:00,0.00565115,0.27125501,48
1704319200000,2024-01-03 22:00:00,0.01371058,0.85005616,62
1704322800000,2024-01-03 23:00:00,0.0041656,0.11663672,28
1704326400000,2024-01-04 00:00:00,0.01223503,0.58728143,48
1704330000000,2024-01-04 01:00:00,0.00559783,0.20711971,37
1704333600000,2024-01-04 02:00:00,0.01491656,0.74582792,50
1704337200000,2024-01-04 03:00:00,0.3253764,9.11053927,28
1704340800000,2024-01-04 04:00:00,0.01955114,0.52788072,27
1704344400000,2024-01-04 05:00:00,0.03054574,1.13019224,37
1704348000000,2024-01-04 06:00:00,0.00358891,0.02153347,6
1704351600000,2024-01-04 07:00:00,0.04626048,1.29529352,28
1704355200000,2024-01-04 08:00:00,0.00314658,0.65134191,207
1704358800000,2024-01-04 09:00:00,0.00151503,0.26816089,177
1704362400000,2024-01-04 10:00:00,0.0093546,2.22639522,238
1704366000000,2024-01-04 11:00:00,0.00083921,0.25763817,307
1704369600000,2024-01-04 12:00:00,0.0007522,0.18203225,242
1704373200000,2024-01-04 13:00:00,0.0766714,10.27396764,134
1704376800000,2024-01-04 14:00:00,0.0061432,1.48051054,241
1704380400000,2024-01-04 15:00:00,0.00546038,0.70984954,130
1704384000000,2024-01-04 16:00:00,0.00347475,0.63240372,182
1704387600000,2024-01-04 17:00:00,0.00138079,0.09527419,69
1704391200000,2024-01-04 18:00:00,0.0036946,0.42857339,116
1704394800000,2024-01-04 19:00:00,0.00669037,0.38135092,57
1704398400000,2024-01-04 20:00:00,0.02050143,1.4350998,70
1704402000000,2024-01-04 21:00:00,0.01117151,0.55857554,50
1704405600000,2024-01-04 22:00:00,7.868e-05,0.00904819,115
1704409200000,2024-01-04 23:00:00,0.00214506,0.20378064,95
1704412800000,2024-01-05 00:00:00,0.00204829,0.06144876,30
